t_us, Position.x, Position.y, Height, Heading, Velocity.x, Velocity.y, u_vx, u_vy, Omega.z, u_x, u_y, u_yaw, m1, m2, m3, m4
3322737,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,125,125,125,125
3333142,0.000,0.000,0.288,0.000,-0.008,-0.003,0.000,0.000,-0.005,0.000,0.000,0.000,120,120,120,120
3340470,0.000,0.000,0.490,0.000,-0.013,-0.005,0.000,0.000,-0.009,0.000,0.000,0.000,120,120,120,120
3348283,0.000,0.000,0.631,0.000,-0.016,-0.006,0.000,0.000,-0.013,0.000,0.000,0.000,120,120,120,120
3356096,0.000,0.000,0.733,0.000,-0.017,-0.007,0.000,0.000,-0.017,0.000,0.000,0.000,120,120,120,120
3363908,0.000,0.000,0.801,0.000,-0.017,-0.007,0.000,0.000,-0.020,0.000,0.000,0.000,120,120,120,120
3371720,0.000,0.000,0.849,0.000,-0.016,-0.007,0.000,0.000,-0.022,0.000,0.000,0.000,120,120,120,120
3379531,0.000,0.000,0.882,0.000,-0.015,-0.006,0.000,0.000,-0.024,0.000,0.000,0.000,120,120,120,120
3387349,0.000,0.000,0.905,0.000,-0.014,-0.006,0.000,0.000,-0.026,0.000,0.000,0.000,120,120,120,120
3395158,0.000,0.000,0.922,0.000,-0.013,-0.005,0.000,0.000,-0.027,0.000,0.000,0.000,120,120,120,120
3402972,0.000,0.000,0.933,0.000,-0.011,-0.004,0.000,0.000,-0.029,0.000,0.000,0.000,120,120,120,120
3410786,0.000,0.000,0.941,0.000,-0.010,-0.004,0.000,0.000,-0.031,0.000,0.000,0.000,120,120,120,120
3418599,0.000,0.000,0.947,0.000,-0.009,-0.003,0.000,0.000,-0.034,0.000,0.000,0.000,120,120,120,120
3426414,0.000,0.000,0.951,0.000,-0.007,-0.003,0.000,0.000,-0.036,0.000,0.000,0.000,120,120,120,120
3434223,0.000,0.000,0.954,0.000,-0.006,-0.003,0.000,0.000,-0.038,0.000,0.000,0.000,120,120,120,120
3442036,0.000,0.000,0.956,0.000,-0.006,-0.002,0.000,0.000,-0.040,0.000,0.000,0.000,120,120,120,120
3449851,0.000,0.000,0.957,0.000,-0.005,-0.002,0.000,0.000,-0.042,0.000,0.000,0.000,120,120,120,120
3457663,0.000,0.000,0.958,0.000,-0.004,-0.002,0.000,0.000,-0.044,0.000,0.000,0.000,120,120,120,120
3465476,0.000,0.000,0.958,0.000,-0.003,-0.001,0.000,0.000,-0.046,0.000,0.000,0.000,120,120,120,120
3473290,0.000,0.000,0.959,0.000,-0.003,-0.001,0.000,0.000,-0.048,0.000,0.000,0.000,120,120,120,120
3481100,0.000,0.000,0.959,0.000,-0.002,-0.001,0.000,0.000,-0.049,0.000,0.000,0.000,120,120,120,120
3488913,0.000,0.000,0.959,0.000,-0.002,-0.001,0.000,0.000,-0.049,0.000,0.000,0.000,120,120,120,120
3496727,0.000,0.000,0.960,0.000,-0.002,-0.001,0.000,0.000,-0.050,0.000,0.000,0.000,120,120,120,120
3504541,0.000,0.000,0.960,0.000,-0.001,-0.001,0.000,0.000,-0.050,0.000,0.000,0.000,120,120,120,120
3512354,0.000,0.000,0.960,0.000,-0.001,-0.000,0.000,0.000,-0.050,0.000,0.000,0.000,120,120,120,120
3520165,0.000,0.000,0.960,0.000,-0.001,-0.000,0.000,0.000,-0.049,0.000,0.000,0.000,120,120,120,120
3527978,0.000,0.000,0.960,0.000,-0.001,-0.000,0.000,0.000,-0.049,0.000,0.000,0.000,120,120,120,120
