t_us, Position.x, Position.y, Height, Heading, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.z, u_x, u_y, u_yaw, m1, m2, m3, m4
2424697,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,125,125,125,125
2432143,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
2435375,0.000,0.000,0.020,0.000,0.000,-0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
2443291,0.000,0.000,0.029,0.000,0.000,-0.000,0.000,0.000,-0.002,0.000,0.000,0.000,120,120,120,120
2451207,0.000,0.000,0.035,0.000,0.000,-0.000,0.000,0.000,-0.003,0.000,0.000,0.000,120,120,120,120
2459126,0.000,0.000,0.040,0.000,0.000,-0.000,0.000,0.000,-0.004,0.000,0.000,0.000,120,120,120,120
2467037,0.000,0.000,0.043,0.000,0.000,-0.000,0.000,0.000,-0.006,0.000,0.000,0.000,120,120,120,120
2474947,0.000,0.000,0.042,0.000,0.000,-0.000,0.000,0.000,-0.006,0.000,0.000,0.000,120,120,120,120
2482862,0.000,0.000,0.044,0.000,0.000,-0.000,0.000,0.000,-0.007,0.000,0.000,0.000,120,120,120,120
2490780,0.000,0.000,0.046,0.000,0.000,-0.000,0.000,0.000,-0.008,0.000,0.000,0.000,120,120,120,120
2498691,0.000,0.000,0.047,0.000,0.000,-0.000,0.000,0.000,-0.008,0.000,0.000,0.000,120,120,120,120
2506616,0.000,0.000,0.051,0.000,0.000,-0.000,0.000,0.000,-0.009,0.000,0.000,0.000,120,120,120,120
2514531,0.000,0.000,0.057,0.000,0.000,-0.000,0.000,0.000,-0.010,0.000,0.000,0.000,120,120,120,120
2522441,0.000,0.000,0.064,0.000,0.000,-0.000,0.000,0.000,-0.011,0.000,0.000,0.000,120,120,120,120
2530354,0.000,0.000,0.066,0.000,0.000,-0.000,0.000,0.000,-0.010,0.000,0.000,0.000,120,120,120,120
2538273,0.000,0.000,0.067,0.000,0.000,-0.000,0.000,0.000,-0.008,0.000,0.000,0.000,120,120,120,120
2546187,0.000,0.000,0.068,0.000,0.000,-0.000,0.000,0.000,-0.006,0.000,0.000,0.000,120,120,120,120
2554103,0.000,0.000,0.068,0.000,0.000,-0.000,0.000,0.000,-0.002,0.000,0.000,0.000,120,120,120,120
2562018,0.000,0.000,0.066,0.000,0.000,-0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
2569933,0.000,0.000,0.061,0.000,0.000,-0.000,0.000,0.000,0.007,0.000,0.000,0.000,120,120,120,120
2577849,0.000,0.000,0.061,0.000,0.000,-0.000,0.000,0.000,0.011,0.000,0.000,0.000,120,120,120,120
