t_us, Position.x, Position.y, Height, Heading, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.z, u_x, u_y, u_yaw, m1, m2, m3, m4
3158975,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,125,125,125,125
3172899,0.000,0.000,0.135,0.000,0.000,0.000,0.000,0.000,-0.005,0.000,0.000,0.000,120,120,120,120
3176255,0.000,0.000,0.230,0.000,0.000,0.000,0.000,0.000,-0.008,0.000,0.000,0.000,120,120,120,120
3184167,0.000,0.000,0.296,0.000,0.000,0.000,0.000,0.000,-0.011,0.000,0.000,0.000,120,120,120,120
3192078,0.000,0.000,0.342,0.000,0.000,0.000,0.000,0.000,-0.012,0.000,0.000,0.000,120,120,120,120
3199983,0.000,0.000,0.374,0.000,0.000,0.000,0.000,0.000,-0.013,0.000,0.000,0.000,120,120,120,120
3207896,0.000,0.000,0.397,0.000,0.000,0.000,0.000,0.000,-0.013,0.000,0.000,0.000,120,120,120,120
3215807,0.000,0.000,0.413,0.000,0.000,0.000,0.000,0.000,-0.014,0.000,0.000,0.000,120,120,120,120
3223716,0.000,0.000,0.424,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3231626,0.000,0.000,0.432,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3239531,0.000,0.000,0.437,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3247444,0.000,0.000,0.441,0.000,0.000,0.000,0.000,0.000,-0.017,0.000,0.000,0.000,120,120,120,120
3255355,0.000,0.000,0.444,0.000,0.000,0.000,0.000,0.000,-0.019,0.000,0.000,0.000,120,120,120,120
3263261,0.000,0.000,0.446,0.000,0.000,0.000,0.000,0.000,-0.009,0.000,0.000,0.000,120,120,120,120
3271174,0.000,0.000,0.447,0.000,0.000,0.000,0.000,0.000,-0.009,0.000,0.000,0.000,120,120,120,120
3279084,0.000,0.000,0.448,0.000,0.000,0.000,0.000,0.000,-0.013,0.000,0.000,0.000,120,120,120,120
3286993,0.000,0.000,0.449,0.000,0.000,0.000,0.000,0.000,-0.007,0.000,0.000,0.000,120,120,120,120
3294902,0.000,0.000,0.449,0.000,0.000,0.000,0.000,0.000,-0.010,0.000,0.000,0.000,120,120,120,120
3302811,0.000,0.000,0.449,0.000,0.000,0.000,0.000,0.000,-0.012,0.000,0.000,0.000,120,120,120,120
3310722,0.000,0.000,0.449,0.000,0.000,0.000,0.000,0.000,-0.013,0.000,0.000,0.000,120,120,120,120
3318630,0.000,0.000,0.450,0.000,0.000,0.000,0.000,0.000,-0.013,0.000,0.000,0.000,120,120,120,120
3326542,0.000,0.000,0.450,0.000,0.000,0.000,0.000,0.000,-0.013,0.000,0.000,0.000,120,120,120,120
3334449,0.000,0.000,0.450,0.000,0.000,0.000,0.000,0.000,-0.013,0.000,0.000,0.000,120,120,120,120
3342358,0.000,0.000,0.450,0.000,0.000,0.000,0.000,0.000,-0.013,0.000,0.000,0.000,120,120,120,120
