t_us, Height, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.x, Omega.y, Omega.z, Acc.x, Acc.y, Acc.z
3399635,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3410720,0.051,0.000,0.000,0.000,0.000,-0.007,0.003,-0.002,0.053,0.159,1.361
3412822,0.087,0.000,0.000,0.000,0.000,-0.012,0.005,-0.004,0.075,0.315,2.596
3420360,0.112,0.000,0.000,0.000,0.000,-0.016,0.006,-0.008,-0.034,0.564,3.724
3428203,0.129,0.000,0.000,0.000,0.000,-0.018,0.006,-0.011,0.109,0.554,4.432
3436045,0.141,0.000,0.000,0.000,0.000,-0.018,0.007,-0.014,0.128,0.631,5.164
3443889,0.150,0.000,0.000,0.000,0.000,-0.018,0.009,-0.017,0.143,0.694,5.797
3451733,0.156,0.000,0.000,0.000,0.000,-0.017,0.011,-0.020,0.171,0.749,6.337
3459575,0.160,0.000,0.000,0.000,0.000,-0.015,0.012,-0.022,0.167,0.785,6.794
3467418,0.163,0.000,0.000,0.000,0.000,-0.015,0.014,-0.025,0.179,0.830,7.215
3475260,0.165,0.000,0.000,0.000,0.000,-0.015,0.014,-0.026,0.193,0.859,7.575
3483102,0.167,0.000,0.000,0.000,0.000,-0.014,0.014,-0.027,0.204,0.877,7.875
3490946,0.168,0.000,0.000,0.000,0.000,-0.014,0.013,-0.027,0.208,0.894,8.166
3498787,0.168,0.000,0.000,0.000,0.000,-0.015,0.011,-0.027,0.217,0.905,8.419
3506629,0.169,0.000,0.000,0.000,0.000,-0.016,0.011,-0.027,0.231,0.910,8.642
3514472,0.169,0.000,0.000,0.000,0.000,-0.017,0.009,-0.026,0.248,0.913,8.807
3522315,0.169,0.000,0.000,0.000,0.000,-0.019,0.009,-0.024,0.259,0.923,8.994
3530158,0.170,0.000,0.000,0.000,0.000,-0.021,0.009,-0.023,0.267,0.932,9.119
3538001,0.170,0.000,0.000,0.000,0.000,-0.022,0.008,-0.021,0.278,0.945,9.209
3545842,0.170,0.000,0.000,0.000,0.000,-0.024,0.009,-0.019,0.289,0.957,9.368
3553683,0.170,0.000,0.000,0.000,0.000,-0.028,0.010,-0.017,0.300,0.971,9.470
3561526,0.170,0.000,0.000,0.000,0.000,-0.030,0.010,-0.015,0.303,0.978,9.512
3569369,0.170,0.000,0.000,0.000,0.000,-0.033,0.010,-0.013,0.306,0.993,9.576
3577211,0.170,0.000,0.000,0.000,0.000,-0.037,0.011,-0.011,0.311,0.996,9.652
3585054,0.170,0.000,0.000,0.000,0.000,-0.041,0.012,-0.009,0.319,1.007,9.691
3592896,0.173,0.000,0.000,0.000,0.000,-0.046,0.014,-0.007,0.337,1.021,9.722
3600738,0.175,0.000,0.000,0.000,0.000,-0.051,0.017,-0.005,0.348,1.038,9.749
3608582,0.174,0.000,0.000,0.000,0.000,-0.056,0.021,-0.004,0.364,1.046,9.769
3616423,0.172,0.000,0.000,0.000,0.000,-0.059,0.023,-0.003,0.377,1.060,9.727
3624267,0.172,0.000,0.000,0.000,0.000,-0.060,0.025,-0.002,0.392,1.066,9.721
3632109,0.171,0.000,0.000,0.000,0.000,-0.059,0.028,-0.002,0.404,1.074,9.699
3639951,0.174,0.000,0.000,0.000,0.000,-0.058,0.030,-0.002,0.408,1.075,9.687
3647793,0.176,0.000,0.000,0.000,0.000,-0.054,0.032,-0.003,0.419,1.083,9.679
3655636,0.174,0.000,0.000,0.000,0.000,-0.050,0.032,-0.004,0.438,1.097,9.654
3663479,0.173,0.000,0.000,0.000,0.000,-0.046,0.032,-0.005,0.453,1.105,9.668
3671322,0.172,0.000,0.000,0.000,0.000,-0.043,0.031,-0.007,0.458,1.098,9.674
3679163,0.171,0.000,0.000,0.000,0.000,-0.042,0.030,-0.009,0.457,1.094,9.721
3687005,0.171,0.000,0.000,0.000,0.000,-0.042,0.028,-0.012,0.459,1.088,9.740
3694848,0.174,0.000,0.000,0.000,0.000,-0.043,0.027,-0.014,0.445,1.088,9.764
3702690,0.176,0.000,0.000,0.000,0.000,-0.045,0.028,-0.017,0.444,1.074,9.787
3710531,0.177,0.000,0.000,0.000,0.000,-0.047,0.027,-0.020,0.433,1.056,9.795
3718373,0.178,0.000,0.000,0.000,0.000,-0.052,0.028,-0.022,0.425,1.052,9.823
3726217,0.178,0.000,0.000,0.000,0.000,-0.055,0.029,-0.025,0.396,1.039,9.826
3734059,0.176,0.000,0.000,0.000,0.000,-0.060,0.028,-0.027,0.387,1.020,9.842
3741902,0.174,0.000,0.000,0.000,0.000,-0.065,0.029,-0.028,0.374,1.002,9.871
3749746,0.173,0.000,0.000,0.000,0.000,-0.069,0.028,-0.029,0.357,0.986,9.838
3757586,0.172,0.000,0.000,0.000,0.000,-0.071,0.027,-0.029,0.350,0.976,9.840
3765430,0.171,0.000,0.000,0.000,0.000,-0.071,0.027,-0.028,0.339,0.970,9.844
3773269,0.174,0.000,0.000,0.000,0.000,-0.069,0.026,-0.027,0.336,0.951,9.826
3781112,0.176,0.000,0.000,0.000,0.000,-0.066,0.026,-0.025,0.338,0.943,9.803
3788953,0.177,0.000,0.000,0.000,0.000,-0.060,0.027,-0.024,0.341,0.934,9.771
3796795,0.178,0.000,0.000,0.000,0.000,-0.054,0.027,-0.022,0.331,0.928,9.748
3804639,0.179,0.000,0.000,0.000,0.000,-0.048,0.028,-0.020,0.326,0.919,9.737
3812483,0.176,0.000,0.000,0.000,0.000,-0.040,0.031,-0.018,0.324,0.911,9.722
3820326,0.174,0.000,0.000,0.000,0.000,-0.035,0.032,-0.016,0.324,0.910,9.718
3828168,0.173,0.000,0.000,0.000,0.000,-0.029,0.033,-0.014,0.334,0.913,9.695
3836010,0.172,0.000,0.000,0.000,0.000,-0.024,0.032,-0.012,0.345,0.922,9.692
3843853,0.171,0.000,0.000,0.000,0.000,-0.018,0.030,-0.010,0.343,0.928,9.687
3851693,0.174,0.000,0.000,0.000,0.000,-0.012,0.026,-0.008,0.343,0.941,9.682
3859535,0.176,0.000,0.000,0.000,0.000,-0.005,0.021,-0.006,0.360,0.954,9.672
3867377,0.177,0.000,0.000,0.000,0.000,0.002,0.016,-0.005,0.378,0.980,9.666
3875219,0.178,0.000,0.000,0.000,0.000,0.008,0.010,-0.003,0.394,1.002,9.688
3883063,0.179,0.000,0.000,0.000,0.000,0.014,0.005,-0.001,0.409,1.017,9.697
3890904,0.179,0.000,0.000,0.000,0.000,0.019,0.000,0.002,0.415,1.039,9.715
3898746,0.179,0.000,0.000,0.000,0.000,0.024,-0.004,0.004,0.419,1.054,9.734
3906588,0.180,0.000,0.000,0.000,0.000,0.026,-0.010,0.006,0.420,1.066,9.735
3914430,0.180,0.000,0.000,0.000,0.000,0.029,-0.014,0.009,0.426,1.080,9.746
3922271,0.180,0.000,0.000,0.000,0.000,0.028,-0.019,0.011,0.437,1.087,9.757
3930115,0.180,0.000,0.000,0.000,0.000,0.026,-0.022,0.012,0.441,1.097,9.793
3937960,0.177,0.000,0.000,0.000,0.000,0.023,-0.026,0.014,0.433,1.101,9.779
3945798,0.175,0.000,0.000,0.000,0.000,0.017,-0.026,0.014,0.428,1.110,9.827
3953644,0.173,0.000,0.000,0.000,0.000,0.011,-0.024,0.015,0.411,1.121,9.831
3961486,0.172,0.000,0.000,0.000,0.000,0.004,-0.019,0.014,0.382,1.131,9.844
3969325,0.175,0.000,0.000,0.000,0.000,-0.003,-0.014,0.013,0.358,1.139,9.836
3977170,0.176,0.000,0.000,0.000,0.000,-0.009,-0.007,0.011,0.337,1.140,9.821
3985011,0.177,0.000,0.000,0.000,0.000,-0.014,-0.001,0.009,0.316,1.143,9.808
3992852,0.178,0.000,0.000,0.000,0.000,-0.018,0.004,0.006,0.298,1.151,9.776
4000696,0.179,0.000,0.000,0.000,0.000,-0.020,0.007,0.003,0.291,1.141,9.756
4008538,0.176,0.000,0.000,0.000,0.000,-0.021,0.008,-0.001,0.278,1.142,9.728
4016381,0.174,0.000,0.000,0.000,0.000,-0.022,0.007,-0.004,0.267,1.148,9.720
4024224,0.173,0.000,0.000,0.000,0.000,-0.023,0.005,-0.008,0.253,1.151,9.744
