t_us, Position.x, Position.y, Height, Heading, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.z, u_x, u_y, u_yaw, m1, m2, m3, m4
3268010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,125,125,125,125
3275460,0.000,0.000,0.138,0.000,0.022,0.002,0.560,0.060,-0.004,0.000,0.000,0.000,120,120,120,120
3277707,0.000,0.000,0.232,0.000,0.036,0.004,0.000,0.000,-0.007,0.000,0.000,0.000,120,120,120,120
3285638,0.000,0.000,0.300,0.000,0.043,0.005,0.000,0.000,-0.010,0.000,0.000,0.000,120,120,120,120
3293569,0.000,0.000,0.345,0.000,0.046,0.005,0.000,0.000,-0.012,0.000,0.000,0.000,120,120,120,120
3301500,0.000,0.000,0.377,0.000,0.047,0.005,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3309431,0.000,0.000,0.402,0.000,0.045,0.005,0.000,0.000,-0.019,0.000,0.000,0.000,120,120,120,120
3317359,0.000,0.000,0.419,0.000,0.043,0.005,0.000,0.000,-0.025,0.000,0.000,0.000,120,120,120,120
3325290,0.000,0.000,0.428,0.000,0.040,0.005,0.000,0.000,-0.032,0.000,0.000,0.000,120,120,120,120
3333222,0.000,0.000,0.435,0.000,0.038,0.005,0.000,0.000,-0.042,0.000,0.000,0.000,120,120,120,120
3341153,0.000,0.000,0.439,0.000,0.035,0.005,0.000,0.000,-0.052,0.000,0.000,0.000,120,120,120,120
3349084,0.000,0.000,0.443,0.000,0.034,0.005,0.000,0.000,-0.062,0.000,0.000,0.000,120,120,120,120
3357011,0.000,0.000,0.445,0.000,0.032,0.004,0.000,0.000,-0.071,0.000,0.000,0.000,120,120,120,120
3364946,0.000,0.000,0.446,0.000,0.032,0.004,0.000,0.000,-0.076,0.000,0.000,0.000,120,120,120,120
3372876,0.000,0.000,0.447,0.000,0.031,0.004,0.000,0.000,-0.082,0.000,0.000,0.000,120,120,120,120
3380810,0.000,0.000,0.448,0.000,0.032,0.003,0.000,0.000,-0.085,0.000,0.000,0.000,120,120,120,120
3388741,0.000,0.000,0.449,0.000,0.032,0.002,0.000,0.000,-0.089,0.000,0.000,0.000,120,120,120,120
3396671,0.000,0.000,0.449,0.000,0.033,0.002,0.000,0.000,-0.094,0.000,0.000,0.000,120,120,120,120
3404602,0.000,0.000,0.449,0.000,0.034,0.001,0.000,0.000,-0.102,0.000,0.000,0.000,120,120,120,120
3412533,0.000,0.000,0.450,0.000,0.035,-0.001,0.000,0.000,-0.109,0.000,0.000,0.000,120,120,120,120
3420463,0.000,0.000,0.450,0.000,0.036,-0.002,0.000,0.000,-0.117,0.000,0.000,0.000,120,120,120,120
3428393,0.000,0.000,0.450,0.000,0.038,-0.003,0.000,0.000,-0.125,0.000,0.000,0.000,120,120,120,120
3436325,0.000,0.000,0.450,0.000,0.040,-0.005,0.000,0.000,-0.133,0.000,0.000,0.000,120,120,120,120
3444256,0.000,0.000,0.450,0.000,0.042,-0.006,0.000,0.000,-0.141,0.000,0.000,0.000,120,120,120,120
3452188,0.000,0.000,0.450,0.000,0.045,-0.008,0.000,0.000,-0.149,0.000,0.000,0.000,120,120,120,120
3460119,0.000,0.000,0.450,0.000,0.047,-0.010,0.000,0.000,-0.157,0.000,0.000,0.000,120,120,120,120
3468052,0.000,0.000,0.450,0.000,0.050,-0.011,0.000,0.000,-0.165,0.000,0.000,0.000,120,120,120,120
3475980,0.000,0.000,0.453,0.000,0.053,-0.013,0.000,0.000,-0.173,0.000,0.000,0.000,120,120,120,120
3483913,0.000,0.000,0.452,0.000,0.056,-0.014,0.000,0.000,-0.181,0.000,0.000,0.000,120,120,120,120
3491844,0.000,0.000,0.451,0.000,0.059,-0.016,0.000,0.000,-0.187,0.000,0.000,0.000,120,120,120,120
3499771,0.000,0.000,0.451,0.000,0.062,-0.017,0.000,0.000,-0.192,0.000,0.000,0.000,120,120,120,120
3507707,0.000,0.000,0.451,0.000,0.065,-0.018,0.000,0.000,-0.195,0.000,0.000,0.000,120,120,120,120
3515633,0.000,0.000,0.451,0.000,0.068,-0.019,0.000,0.000,-0.194,0.000,0.000,0.000,120,120,120,120
3523570,0.000,0.000,0.450,0.000,0.070,-0.021,0.000,0.000,-0.193,0.000,0.000,0.000,120,120,120,120
3531501,0.000,0.000,0.450,0.000,0.073,-0.022,0.000,0.000,-0.189,0.000,0.000,0.000,120,120,120,120
3539432,0.000,0.000,0.450,0.000,0.074,-0.023,0.000,0.000,-0.184,0.000,0.000,0.000,120,120,120,120
3547363,0.000,0.000,0.450,0.000,0.076,-0.024,0.000,0.000,-0.176,0.000,0.000,0.000,120,120,120,120
3555298,0.000,0.000,0.450,0.000,0.077,-0.025,0.000,0.000,-0.166,0.000,0.000,0.000,120,120,120,120
3563228,0.000,0.000,0.450,0.000,0.077,-0.026,0.000,0.000,-0.156,0.000,0.000,0.000,120,120,120,120
3571157,0.000,0.000,0.450,0.000,0.077,-0.027,0.000,0.000,-0.144,0.000,0.000,0.000,120,120,120,120
3579087,0.000,0.000,0.450,0.000,0.076,-0.027,0.000,0.000,-0.128,0.000,0.000,0.000,120,120,120,120
3587019,0.000,0.000,0.450,0.000,0.074,-0.027,0.000,0.000,-0.112,0.000,0.000,0.000,120,120,120,120
3594946,0.000,0.000,0.450,0.000,0.072,-0.027,0.000,0.000,-0.093,0.000,0.000,0.000,120,120,120,120
3602879,0.000,0.000,0.450,0.000,0.069,-0.027,0.000,0.000,-0.072,0.000,0.000,0.000,120,120,120,120
3610811,0.000,0.000,0.450,0.000,0.065,-0.026,0.000,0.000,-0.048,0.000,0.000,0.000,120,120,120,120
3618741,0.000,0.000,0.450,0.000,0.060,-0.025,0.000,0.000,-0.018,0.000,0.000,0.000,120,120,120,120
3626670,0.000,0.000,0.453,0.000,0.054,-0.023,0.000,0.000,0.014,0.000,0.000,0.000,120,120,120,120
3634601,0.000,0.000,0.455,0.000,0.048,-0.021,0.000,0.000,0.050,0.000,0.000,0.000,120,120,120,120
3642532,0.000,0.000,0.454,0.000,0.040,-0.019,0.000,0.000,0.086,0.000,0.000,0.000,120,120,120,120
3650463,0.000,0.000,0.453,0.000,0.031,-0.017,0.000,0.000,0.123,0.000,0.000,0.000,120,120,120,120
3658395,0.000,0.000,0.452,0.000,0.021,-0.014,0.000,0.000,0.157,0.000,0.000,0.000,120,120,120,120
3666317,0.000,0.000,0.451,0.000,0.016,-0.016,0.131,-0.131,0.188,0.000,0.000,0.000,120,120,120,120
3674255,0.000,0.000,0.451,0.000,0.008,-0.016,0.000,0.000,0.215,0.000,0.000,0.000,120,120,120,120
3682186,0.000,0.000,0.451,0.000,-0.001,-0.013,0.000,0.000,0.243,0.000,0.000,0.000,120,120,120,120
3690118,0.000,0.000,0.450,0.000,-0.007,-0.009,0.131,0.000,0.267,0.000,0.000,0.000,120,120,120,120
3698048,0.000,0.000,0.450,0.000,-0.011,-0.005,0.131,0.000,0.293,0.000,0.000,0.000,120,120,120,120
3705979,0.000,0.000,0.450,0.000,-0.013,0.001,0.131,0.000,0.318,0.000,0.000,0.000,120,120,120,120
3713907,0.000,0.000,0.450,0.000,-0.012,0.006,0.196,0.000,0.344,0.000,0.000,0.000,120,120,120,120
3721839,0.000,0.000,0.450,0.000,-0.013,0.012,0.131,0.000,0.369,0.000,0.000,0.000,120,120,120,120
3729771,0.000,0.000,0.450,0.000,-0.014,0.018,0.131,0.000,0.392,0.000,0.000,0.000,120,120,120,120
3737701,0.000,0.000,0.450,0.000,-0.017,0.024,0.131,0.000,0.418,0.000,0.000,0.000,120,120,120,120
3745632,0.000,0.000,0.450,0.000,-0.018,0.029,0.196,0.000,0.444,0.000,0.000,0.000,120,120,120,120
3753565,0.000,0.000,0.450,0.000,-0.022,0.035,0.131,0.000,0.473,0.000,0.000,0.000,120,120,120,120
3761494,0.000,0.000,0.450,0.000,-0.024,0.035,0.196,-0.131,0.502,0.000,0.000,0.000,120,120,120,120
3769426,0.000,0.000,0.450,0.000,-0.027,0.037,0.196,0.000,0.533,0.000,0.000,0.000,120,120,120,120
3777358,0.000,0.000,0.450,0.000,-0.029,0.040,0.196,0.000,0.562,0.000,0.000,0.000,120,120,120,120
3785287,0.000,0.000,0.450,0.000,-0.033,0.038,0.196,-0.131,0.589,0.000,0.000,0.000,120,120,120,120
3793219,0.000,0.000,0.450,0.000,-0.037,0.039,0.196,0.000,0.613,0.000,0.000,0.000,120,120,120,120
3801150,0.000,0.000,0.450,0.000,-0.041,0.042,0.196,0.000,0.634,0.000,0.000,0.000,120,120,120,120
3809082,0.000,0.000,0.450,0.000,-0.044,0.046,0.261,0.000,0.653,0.000,0.000,0.000,120,120,120,120
3817013,0.000,0.000,0.447,0.000,-0.048,0.050,0.194,0.000,0.670,0.000,0.000,0.000,120,120,120,120
3824941,0.000,0.000,0.445,0.000,-0.054,0.054,0.194,0.000,0.684,0.000,0.000,0.000,120,120,120,120
3832876,0.000,0.000,0.443,0.000,-0.059,0.057,0.193,0.000,0.693,0.000,0.000,0.000,120,120,120,120
3840804,0.000,0.000,0.445,0.000,-0.065,0.060,0.194,0.000,0.697,0.000,0.000,0.000,120,120,120,120
3848737,0.000,0.000,0.447,0.000,-0.069,0.057,0.259,-0.130,0.697,0.000,0.000,0.000,120,120,120,120
3856668,0.000,0.000,0.445,0.000,-0.075,0.055,0.129,0.000,0.690,0.000,0.000,0.000,120,120,120,120
3864599,0.000,0.000,0.443,0.000,-0.081,0.054,0.193,0.000,0.675,0.000,0.000,0.000,120,120,120,120
3872530,0.000,0.000,0.442,0.000,-0.085,0.053,0.192,0.000,0.656,0.000,0.000,0.000,120,120,120,120
