t_us, Position.x, Position.y, Height, Heading, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.z, u_x, u_y, u_yaw, m1, m2, m3, m4
3078504,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,125,125,125,125
3093906,0.000,0.000,0.006,0.000,0.021,0.007,0.535,0.177,0.196,0.000,0.000,0.000,120,120,120,120
3099908,0.000,0.000,0.262,0.000,0.034,0.011,0.000,0.000,0.335,0.000,0.000,0.000,120,120,120,120
3107852,0.000,0.000,0.451,0.000,0.077,0.031,0.980,0.327,0.438,0.000,0.000,0.000,120,120,120,120
3115799,0.000,0.000,0.588,0.000,0.145,0.063,1.280,0.341,0.518,0.000,0.000,0.000,120,120,120,120
3123743,0.000,0.000,0.691,0.000,0.232,0.109,1.503,0.401,0.577,0.000,0.000,0.000,120,120,120,120
3131686,0.000,0.000,0.763,0.000,0.332,0.161,1.659,0.332,0.622,0.000,0.000,0.000,120,120,120,120
3139634,0.000,0.000,0.816,0.000,0.438,0.223,1.774,0.473,0.652,0.000,0.000,0.000,120,120,120,120
3147580,0.000,0.000,0.853,0.000,0.546,0.290,1.855,0.495,0.670,0.000,0.000,0.000,120,120,120,120
3155523,0.000,0.000,0.882,0.000,0.657,0.365,2.047,0.640,0.680,0.000,0.000,0.000,120,120,120,120
3163470,0.000,0.000,0.906,0.000,0.763,0.438,1.969,0.525,0.680,0.000,0.000,0.000,120,120,120,120
3171416,0.000,0.000,0.922,0.000,0.861,0.512,2.005,0.668,0.674,0.000,0.000,0.000,120,120,120,120
3179359,0.000,0.000,0.933,0.000,0.957,0.579,2.165,0.541,0.663,0.000,0.000,0.000,120,120,120,120
3187305,0.000,0.000,0.941,0.000,1.044,0.639,2.047,0.546,0.648,0.000,0.000,0.000,120,120,120,120
3195249,0.000,0.000,0.950,0.000,1.122,0.686,2.066,0.413,0.629,0.000,0.000,0.000,120,120,120,120
3203194,0.000,0.000,0.956,0.000,1.264,0.744,3.881,0.970,0.605,0.000,0.000,0.000,120,120,120,120
3211137,0.000,0.000,0.960,0.000,1.361,0.785,1.810,0.418,0.577,0.000,0.000,0.000,120,120,120,120
3219081,0.000,0.000,0.963,0.000,1.413,0.807,1.536,0.279,0.544,0.000,0.000,0.000,120,120,120,120
3227026,0.000,0.000,0.965,0.000,1.442,0.820,1.679,0.420,0.506,0.000,0.000,0.000,120,120,120,120
3234970,0.000,0.000,0.967,0.000,1.440,0.828,1.261,0.420,0.466,0.000,0.000,0.000,120,120,120,120
3242913,0.000,0.000,0.971,0.000,1.413,0.826,1.126,0.281,0.426,0.000,0.000,0.000,120,120,120,120
3250860,0.000,0.000,0.973,0.000,1.373,0.817,1.129,0.282,0.387,0.000,0.000,0.000,120,120,120,120
3258802,0.000,0.000,0.975,0.000,1.322,0.792,0.990,0.000,0.350,0.000,0.000,0.000,120,120,120,120
3266749,0.000,0.000,0.977,0.000,1.266,0.758,0.991,0.000,0.317,0.000,0.000,0.000,120,120,120,120
3274693,0.000,0.000,0.978,0.000,1.217,0.720,1.134,0.000,0.289,0.000,0.000,0.000,120,120,120,120
3282639,0.000,0.000,0.981,0.000,1.168,0.680,0.996,0.000,0.267,0.000,0.000,0.000,120,120,120,120
3290581,0.000,0.000,0.984,0.000,1.128,0.641,1.141,0.000,0.250,0.000,0.000,0.000,120,120,120,120
3298526,0.000,0.000,0.986,0.000,1.079,0.605,0.715,0.000,0.239,0.000,0.000,0.000,120,120,120,120
3306472,0.000,0.000,0.987,0.000,1.032,0.571,0.859,0.000,0.232,0.000,0.000,0.000,120,120,120,120
3314416,0.000,0.000,0.988,0.000,0.988,0.540,0.860,0.000,0.231,0.000,0.000,0.000,120,120,120,120
3322361,0.000,0.000,0.992,0.000,0.941,0.513,0.719,0.000,0.233,0.000,0.000,0.000,120,120,120,120
3330304,0.000,0.000,0.994,0.000,0.907,0.490,1.009,0.000,0.238,0.000,0.000,0.000,120,120,120,120
3338248,0.000,0.000,0.996,0.000,0.876,0.481,0.866,0.289,0.245,0.000,0.000,0.000,120,120,120,120
3346192,0.000,0.000,0.997,0.000,0.848,0.470,0.867,0.000,0.254,0.000,0.000,0.000,120,120,120,120
3354137,0.000,0.000,0.998,0.000,0.835,0.458,1.158,0.000,0.266,0.000,0.000,0.000,120,120,120,120
3362081,0.000,0.000,0.999,0.000,0.825,0.458,1.014,0.290,0.281,0.000,0.000,0.000,120,120,120,120
3370026,0.000,0.000,1.002,0.000,0.822,0.454,1.162,0.000,0.301,0.000,0.000,0.000,120,120,120,120
3377971,0.000,0.000,1.004,0.000,0.819,0.448,1.019,0.000,0.328,0.000,0.000,0.000,120,120,120,120
3385916,0.000,0.000,1.006,0.000,0.819,0.440,1.167,0.000,0.360,0.000,0.000,0.000,120,120,120,120
3393859,0.000,0.000,1.007,0.000,0.815,0.431,1.022,0.000,0.397,0.000,0.000,0.000,120,120,120,120
3401802,0.000,0.000,1.008,0.000,0.813,0.422,1.169,0.000,0.438,0.000,0.000,0.000,120,120,120,120
3409746,0.000,0.000,1.009,0.000,0.811,0.413,1.170,0.000,0.480,0.000,0.000,0.000,120,120,120,120
3417692,0.000,0.000,1.009,0.000,0.803,0.404,1.024,0.000,0.523,0.000,0.000,0.000,120,120,120,120
3425636,0.000,0.000,1.009,0.000,0.794,0.394,1.171,0.000,0.565,0.000,0.000,0.000,120,120,120,120
3433580,0.000,0.000,1.010,0.000,0.779,0.383,1.025,0.000,0.607,0.000,0.000,0.000,120,120,120,120
3441524,0.000,0.000,1.010,0.000,0.765,0.384,1.171,0.293,0.649,0.000,0.000,0.000,120,120,120,120
3449464,0.000,0.000,1.010,0.000,0.751,0.379,1.171,0.000,0.693,0.000,0.000,0.000,120,120,120,120
3457410,0.000,0.000,1.010,0.000,0.735,0.371,1.171,0.000,0.739,0.000,0.000,0.000,120,120,120,120
3465354,0.000,0.000,1.010,0.000,0.718,0.359,1.171,0.000,0.788,0.000,0.000,0.000,120,120,120,120
3473299,0.000,0.000,1.010,0.000,0.700,0.346,1.172,0.000,0.840,0.000,0.000,0.000,120,120,120,120
3481242,0.000,0.000,1.010,0.000,0.685,0.343,1.318,0.293,0.895,0.000,0.000,0.000,120,120,120,120
