t_us, Position.x, Position.y, Height, Heading, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.z, u_x, u_y, u_yaw, m1, m2, m3, m4
3165598,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,125,125,125,125
3177287,0.000,0.000,0.120,0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
3184084,0.000,0.000,0.198,0.000,-0.000,-0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3192013,0.000,0.000,0.253,0.000,-0.000,-0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3199943,0.000,0.000,0.291,0.000,-0.000,-0.001,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3207877,0.000,0.000,0.318,0.000,-0.000,-0.001,0.000,0.000,0.003,0.000,0.000,0.000,120,120,120,120
3215801,0.000,0.000,0.336,0.000,-0.000,-0.001,0.000,0.000,0.003,0.000,0.000,0.000,120,120,120,120
3223727,0.000,0.000,0.352,0.000,-0.000,-0.002,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3231661,0.000,0.000,0.364,0.000,-0.000,-0.002,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
3239592,0.000,0.000,0.369,0.000,-0.000,-0.003,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3247520,0.000,0.000,0.372,0.000,-0.000,-0.003,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3255445,0.000,0.000,0.374,0.000,-0.000,-0.003,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3263373,0.000,0.000,0.379,0.000,-0.000,-0.004,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3271299,0.000,0.000,0.382,0.000,-0.001,-0.004,0.000,0.000,0.003,0.000,0.000,0.000,120,120,120,120
3279229,0.000,0.000,0.385,0.000,-0.001,-0.004,0.000,0.000,0.003,0.000,0.000,0.000,120,120,120,120
3287158,0.000,0.000,0.386,0.000,-0.001,-0.005,0.000,0.000,0.003,0.000,0.000,0.000,120,120,120,120
