t_us, Position.x, Position.y, Height, Heading, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.z, u_x, u_y, u_yaw, m1, m2, m3, m4
3255410,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,125,125,125,125
3262864,0.000,0.000,0.072,0.000,-0.013,-0.008,-0.334,-0.209,0.002,0.000,0.000,0.000,120,120,120,120
3264970,0.000,0.000,0.122,0.000,-0.021,-0.013,0.000,0.000,0.004,0.000,0.000,0.000,120,120,120,120
3272826,0.000,0.000,0.158,0.000,-0.026,-0.016,0.000,0.000,0.006,0.000,0.000,0.000,120,120,120,120
3280753,0.000,0.000,0.182,0.000,-0.027,-0.017,0.000,0.000,0.007,0.000,0.000,0.000,120,120,120,120
3288682,0.000,0.000,0.200,0.000,-0.028,-0.017,0.000,0.000,0.009,0.000,0.000,0.000,120,120,120,120
3296608,0.000,0.000,0.212,0.000,-0.027,-0.017,0.000,0.000,0.011,0.000,0.000,0.000,120,120,120,120
3304535,0.000,0.000,0.220,0.000,-0.025,-0.016,0.000,0.000,0.012,0.000,0.000,0.000,120,120,120,120
3312464,0.000,0.000,0.226,0.000,-0.023,-0.015,0.000,0.000,0.014,0.000,0.000,0.000,120,120,120,120
3320393,0.000,0.000,0.230,0.000,-0.021,-0.014,0.000,0.000,0.016,0.000,0.000,0.000,120,120,120,120
3328324,0.000,0.000,0.233,0.000,-0.019,-0.013,0.000,0.000,0.017,0.000,0.000,0.000,120,120,120,120
3336250,0.000,0.000,0.235,0.000,-0.017,-0.012,0.000,0.000,0.019,0.000,0.000,0.000,120,120,120,120
3344176,0.000,0.000,0.237,0.000,-0.016,-0.011,0.000,0.000,0.021,0.000,0.000,0.000,120,120,120,120
3352102,0.000,0.000,0.238,0.000,-0.014,-0.011,0.000,0.000,0.023,0.000,0.000,0.000,120,120,120,120
3360031,0.000,0.000,0.238,0.000,-0.013,-0.010,0.000,0.000,0.025,0.000,0.000,0.000,120,120,120,120
3367958,0.000,0.000,0.239,0.000,-0.012,-0.010,0.000,0.000,0.027,0.000,0.000,0.000,120,120,120,120
3375889,0.000,0.000,0.239,0.000,-0.011,-0.009,0.000,0.000,0.029,0.000,0.000,0.000,120,120,120,120
3383815,0.000,0.000,0.239,0.000,-0.010,-0.009,0.000,0.000,0.031,0.000,0.000,0.000,120,120,120,120
3391743,0.000,0.000,0.240,0.000,-0.010,-0.009,0.000,0.000,0.032,0.000,0.000,0.000,120,120,120,120
3399670,0.000,0.000,0.240,0.000,-0.009,-0.009,0.000,0.000,0.034,0.000,0.000,0.000,120,120,120,120
3407599,0.000,0.000,0.240,0.000,-0.009,-0.009,0.000,0.000,0.035,0.000,0.000,0.000,120,120,120,120
3415526,0.000,0.000,0.240,0.000,-0.009,-0.009,0.000,0.000,0.037,0.000,0.000,0.000,120,120,120,120
3423452,0.000,0.000,0.240,0.000,-0.009,-0.009,0.000,0.000,0.039,0.000,0.000,0.000,120,120,120,120
3431382,0.000,0.000,0.240,0.000,-0.009,-0.009,0.000,0.000,0.040,0.000,0.000,0.000,120,120,120,120
3439310,0.000,0.000,0.240,0.000,-0.009,-0.010,0.000,0.000,0.041,0.000,0.000,0.000,120,120,120,120
3447236,0.000,0.000,0.240,0.000,-0.009,-0.010,0.000,0.000,0.043,0.000,0.000,0.000,120,120,120,120
3455165,0.000,0.000,0.240,0.000,-0.009,-0.010,0.000,0.000,0.044,0.000,0.000,0.000,120,120,120,120
3463091,0.000,0.000,0.240,0.000,-0.009,-0.010,0.000,0.000,0.046,0.000,0.000,0.000,120,120,120,120
3471021,0.000,0.000,0.240,0.000,-0.009,-0.011,0.000,0.000,0.048,0.000,0.000,0.000,120,120,120,120
3478947,0.000,0.000,0.240,0.000,-0.009,-0.011,0.000,0.000,0.049,0.000,0.000,0.000,120,120,120,120
3486876,0.000,0.000,0.240,0.000,-0.010,-0.011,0.000,0.000,0.051,0.000,0.000,0.000,120,120,120,120
3494803,0.000,0.000,0.240,0.000,-0.010,-0.011,0.000,0.000,0.052,0.000,0.000,0.000,120,120,120,120
3502732,0.000,0.000,0.240,0.000,-0.010,-0.012,0.000,0.000,0.053,0.000,0.000,0.000,120,120,120,120
3510658,0.000,0.000,0.240,0.000,-0.011,-0.012,0.000,0.000,0.054,0.000,0.000,0.000,120,120,120,120
3518586,0.000,0.000,0.240,0.000,-0.011,-0.012,0.000,0.000,0.054,0.000,0.000,0.000,120,120,120,120
3526515,0.000,0.000,0.240,0.000,-0.011,-0.012,0.000,0.000,0.055,0.000,0.000,0.000,120,120,120,120
3534440,0.000,0.000,0.240,0.000,-0.011,-0.013,0.000,0.000,0.056,0.000,0.000,0.000,120,120,120,120
3542369,0.000,0.000,0.240,0.000,-0.012,-0.013,0.000,0.000,0.056,0.000,0.000,0.000,120,120,120,120
3550297,0.000,0.000,0.240,0.000,-0.012,-0.013,0.000,0.000,0.057,0.000,0.000,0.000,120,120,120,120
3558228,0.000,0.000,0.240,0.000,-0.009,-0.013,0.070,0.000,0.057,0.000,0.000,0.000,120,120,120,120
3566157,0.000,0.000,0.240,0.000,-0.008,-0.013,0.000,0.000,0.057,0.000,0.000,0.000,120,120,120,120
3574080,0.000,0.000,0.240,0.000,-0.004,-0.014,0.070,0.000,0.057,0.000,0.000,0.000,120,120,120,120
3582006,0.000,0.000,0.240,0.000,-0.003,-0.014,0.000,0.000,0.057,0.000,0.000,0.000,120,120,120,120
3589934,0.000,0.000,0.240,0.000,-0.002,-0.014,0.000,0.000,0.056,0.000,0.000,0.000,120,120,120,120
3597863,0.000,0.000,0.240,0.000,-0.002,-0.014,0.000,0.000,0.056,0.000,0.000,0.000,120,120,120,120
