t_us, Position.x, Position.y, Height, Heading, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.z, u_x, u_y, u_yaw, m1, m2, m3, m4
3221923,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,125,125,125,125
3237368,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,-0.004,0.000,0.000,0.000,120,120,120,120
3239465,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,-0.008,0.000,0.000,0.000,120,120,120,120
3247048,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000,-0.010,0.000,0.000,0.000,120,120,120,120
3254958,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,-0.012,0.000,0.000,0.000,120,120,120,120
3262864,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000,-0.013,0.000,0.000,0.000,120,120,120,120
3270772,0.000,0.000,0.025,0.000,0.000,0.000,0.000,0.000,-0.014,0.000,0.000,0.000,120,120,120,120
3278682,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.000,-0.014,0.000,0.000,0.000,120,120,120,120
3286589,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3294498,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3302408,0.000,0.000,0.029,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3310316,0.000,0.000,0.029,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3318223,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3326129,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3334039,0.000,0.000,0.025,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3341950,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3349858,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3357766,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3365675,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3373583,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3381490,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3389399,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3397309,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3405215,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3413124,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3421032,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3428941,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3436848,0.000,0.000,0.025,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3444759,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3452665,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3460573,0.000,0.000,0.025,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3468482,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3476391,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3484297,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3492205,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,-0.014,0.000,0.000,0.000,120,120,120,120
3500114,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000,-0.014,0.000,0.000,0.000,120,120,120,120
3508021,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,-0.014,0.000,0.000,0.000,120,120,120,120
3515931,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3523839,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3531746,0.000,0.000,0.025,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3539655,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3547565,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3555471,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3563381,0.000,0.000,0.029,0.000,0.000,0.000,0.000,0.000,-0.014,0.000,0.000,0.000,120,120,120,120
3571289,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000,-0.014,0.000,0.000,0.000,120,120,120,120
3579194,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,-0.014,0.000,0.000,0.000,120,120,120,120
3587105,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3595014,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3602921,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3610829,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3618735,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3626647,0.000,0.000,0.025,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3634552,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3642463,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3650368,0.000,0.000,0.029,0.000,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
