t_us, Height, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.x, Omega.y, Omega.z, Acc.x, Acc.y, Acc.z
3119319,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3134878,0.090,0.000,0.000,0.000,0.000,-0.005,0.001,-0.001,-0.044,0.010,1.368
3138770,0.153,0.000,0.000,0.000,0.000,-0.008,0.003,-0.001,-0.067,0.009,2.593
3146719,0.197,0.000,0.000,0.000,0.000,-0.010,0.003,-0.001,-0.109,0.038,3.626
3154656,0.228,0.000,0.000,0.000,0.000,-0.012,0.003,-0.002,-0.115,0.040,4.485
3162601,0.250,0.000,0.000,0.000,0.000,-0.014,0.003,-0.002,-0.116,0.039,5.238
3170542,0.265,0.000,0.000,0.000,0.000,-0.014,0.003,-0.001,-0.118,0.029,5.848
3178484,0.275,0.000,0.000,0.000,0.000,-0.015,0.003,-0.001,-0.119,0.036,6.413
3186428,0.283,0.000,0.000,0.000,0.000,-0.015,0.004,-0.000,-0.134,0.034,6.906
3194369,0.288,0.000,0.000,0.000,0.000,-0.015,0.003,-0.000,-0.156,0.037,7.288
3202311,0.292,0.000,0.000,0.000,0.000,-0.015,0.002,0.001,-0.170,0.026,7.656
3210255,0.294,0.000,0.000,0.000,0.000,-0.016,0.001,-0.000,-0.219,0.058,7.969
3218197,0.296,0.000,0.000,0.000,0.000,-0.015,0.002,-0.001,-0.224,0.063,8.233
3226141,0.297,0.000,0.000,0.000,0.000,-0.016,0.001,-0.002,-0.237,0.073,8.451
3234081,0.298,0.000,0.000,0.000,0.000,-0.016,0.002,-0.003,-0.228,0.068,8.673
3242024,0.299,0.000,0.000,0.000,0.000,-0.016,0.002,-0.003,-0.234,0.076,8.816
3249968,0.299,0.000,0.000,0.000,0.000,-0.016,0.003,-0.003,-0.212,0.061,8.976
3257909,0.299,0.000,0.000,0.000,0.000,-0.016,0.004,-0.002,-0.205,0.065,9.106
3265854,0.300,0.000,0.000,0.000,0.000,-0.017,0.004,-0.002,-0.204,0.059,9.213
3273796,0.300,0.000,0.000,0.000,0.000,-0.016,0.004,-0.001,-0.192,0.048,9.276
3281738,0.300,0.000,0.000,0.000,0.000,-0.016,0.003,-0.003,-0.232,0.080,9.348
3289679,0.300,0.000,0.000,0.000,0.000,-0.016,0.002,-0.003,-0.223,0.052,9.428
3297621,0.300,0.000,0.000,0.000,0.000,-0.016,0.002,-0.002,-0.235,0.043,9.502
3305562,0.300,0.000,0.000,0.000,0.000,-0.017,0.003,-0.002,-0.234,0.040,9.551
3313505,0.300,0.000,0.000,0.000,0.000,-0.017,0.003,-0.001,-0.244,0.043,9.588
3321446,0.300,0.000,0.000,0.000,0.000,-0.018,0.003,-0.001,-0.247,0.047,9.627
3329389,0.300,0.000,0.000,0.000,0.000,-0.018,0.002,-0.001,-0.245,0.052,9.626
