t_us, Height, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.x, Omega.y, Omega.z, Acc.x, Acc.y, Acc.z
3366441,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3373982,0.015,0.000,0.000,0.000,0.000,-0.006,0.001,0.000,-0.007,0.024,1.379
3380603,0.020,0.000,0.000,0.000,0.000,-0.009,0.002,-0.000,-0.011,0.048,2.609
3388449,0.026,0.000,0.000,0.000,0.000,-0.013,0.003,-0.000,-0.023,0.073,3.639
3396298,0.030,0.000,0.000,0.000,0.000,-0.014,0.004,-0.000,-0.031,0.092,4.493
3404145,0.033,0.000,0.000,0.000,0.000,-0.015,0.004,-0.000,-0.031,0.106,5.242
3411994,0.035,0.000,0.000,0.000,0.000,-0.016,0.004,-0.000,-0.043,0.123,5.870
3419840,0.037,0.000,0.000,0.000,0.000,-0.017,0.004,-0.000,-0.060,0.139,6.441
3427687,0.038,0.000,0.000,0.000,0.000,-0.017,0.004,-0.001,-0.070,0.145,6.908
3435535,0.038,0.000,0.000,0.000,0.000,-0.017,0.005,-0.001,-0.071,0.156,7.317
3443380,0.042,0.000,0.000,0.000,0.000,-0.017,0.005,-0.001,-0.060,0.166,7.671
3451222,0.044,0.000,0.000,0.000,0.000,-0.017,0.004,-0.001,-0.060,0.186,7.975
3459077,0.046,0.000,0.000,0.000,0.000,-0.017,0.005,-0.001,-0.064,0.185,8.256
3466923,0.047,0.000,0.000,0.000,0.000,-0.017,0.005,-0.001,-0.055,0.192,8.480
3474771,0.045,0.000,0.000,0.000,0.000,-0.018,0.004,-0.001,-0.058,0.188,8.667
3482619,0.044,0.000,0.000,0.000,0.000,-0.017,0.005,-0.001,-0.057,0.181,8.850
3490463,0.039,0.000,0.000,0.000,0.000,-0.017,0.005,-0.001,-0.059,0.189,8.983
3498314,0.040,0.000,0.000,0.000,0.000,-0.017,0.006,-0.001,-0.058,0.183,9.103
3506160,0.037,0.000,0.000,0.000,0.000,-0.017,0.005,-0.001,-0.051,0.188,9.200
3514007,0.038,0.000,0.000,0.000,0.000,-0.017,0.004,-0.001,-0.064,0.190,9.276
3521852,0.038,0.000,0.000,0.000,0.000,-0.018,0.004,-0.001,-0.068,0.182,9.379
3529704,0.042,0.000,0.000,0.000,0.000,-0.017,0.003,-0.002,-0.070,0.188,9.419
3537553,0.041,0.000,0.000,0.000,0.000,-0.017,0.004,-0.002,-0.077,0.197,9.525
3545396,0.044,0.000,0.000,0.000,0.000,-0.018,0.004,-0.002,-0.074,0.199,9.554
3553241,0.043,0.000,0.000,0.000,0.000,-0.018,0.004,-0.002,-0.074,0.195,9.587
3561090,0.042,0.000,0.000,0.000,0.000,-0.018,0.004,-0.002,-0.092,0.204,9.612
3568936,0.044,0.000,0.000,0.000,0.000,-0.018,0.004,-0.002,-0.092,0.205,9.657
3576786,0.046,0.000,0.000,0.000,0.000,-0.018,0.005,-0.002,-0.096,0.214,9.686
3584632,0.044,0.000,0.000,0.000,0.000,-0.017,0.005,-0.001,-0.091,0.213,9.714
3592480,0.043,0.000,0.000,0.000,0.000,-0.018,0.004,-0.001,-0.077,0.211,9.728
3600328,0.042,0.000,0.000,0.000,0.000,-0.017,0.004,-0.001,-0.069,0.210,9.736
3608172,0.041,0.000,0.000,0.000,0.000,-0.017,0.004,-0.001,-0.074,0.210,9.759
3616022,0.038,0.000,0.000,0.000,0.000,-0.017,0.004,-0.001,-0.072,0.210,9.761
