t_us, Height, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.x, Omega.y, Omega.z, Acc.x, Acc.y, Acc.z
3141001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3159272,0.276,0.019,-0.007,7.484,-2.761,0.025,-0.019,0.079,0.045,-0.028,1.357
3165987,0.469,0.036,-0.013,0.000,0.000,0.045,-0.031,0.189,0.679,-0.640,2.348
3173894,0.604,0.051,-0.019,0.000,0.000,0.064,-0.037,0.305,1.837,-1.771,3.184
3181800,0.699,0.064,-0.024,0.000,0.000,0.082,-0.039,0.412,1.499,-1.409,4.193
3189708,0.765,0.076,-0.028,0.000,0.000,0.100,-0.038,0.505,1.341,-1.209,4.999
3197614,0.812,0.087,-0.032,0.000,0.000,0.118,-0.033,0.583,1.173,-1.008,5.721
3205521,0.844,0.096,-0.036,0.000,0.000,0.134,-0.027,0.646,1.005,-0.825,6.344
3213427,0.867,0.105,-0.039,0.000,0.000,0.147,-0.020,0.695,0.844,-0.650,6.920
3221332,0.883,0.112,-0.041,0.000,0.000,0.161,-0.010,0.733,0.693,-0.488,7.374
3229242,0.894,0.118,-0.044,0.000,0.000,0.171,0.001,0.760,0.551,-0.364,7.796
3237147,0.902,0.123,-0.045,0.000,0.000,0.178,0.012,0.778,0.433,-0.262,8.185
3245051,0.907,0.128,-0.047,0.000,0.000,0.179,0.024,0.790,0.348,-0.160,8.522
3252963,0.911,0.131,-0.048,0.000,0.000,0.188,0.036,0.798,0.301,-0.070,8.654
3260871,0.914,0.134,-0.050,0.000,0.000,0.199,0.046,0.803,0.294,0.012,8.766
3268778,0.916,0.138,-0.050,0.266,0.000,0.209,0.054,0.809,0.314,0.042,8.873
3276684,0.917,0.141,-0.051,0.399,0.000,0.219,0.060,0.815,0.336,0.061,8.971
3284592,0.918,0.144,-0.052,0.000,0.000,0.226,0.064,0.822,0.371,0.106,9.061
3292499,0.919,0.146,-0.052,0.000,0.000,0.232,0.068,0.830,0.409,0.129,9.162
3300408,0.919,0.147,-0.052,0.000,0.000,0.235,0.069,0.841,0.444,0.142,9.260
3308312,0.919,0.148,-0.052,0.000,0.000,0.234,0.069,0.852,0.468,0.139,9.356
3316218,0.919,0.149,-0.052,0.000,0.000,0.229,0.066,0.863,0.473,0.143,9.454
3324125,0.920,0.149,-0.052,0.000,0.000,0.221,0.060,0.873,0.461,0.167,9.503
3332031,0.920,0.149,-0.051,0.000,0.000,0.211,0.050,0.882,0.430,0.173,9.553
3339939,0.920,0.148,-0.051,0.000,0.000,0.198,0.039,0.889,0.382,0.181,9.575
3347846,0.920,0.147,-0.050,0.000,0.000,0.185,0.028,0.891,0.301,0.184,9.594
3355751,0.920,0.146,-0.050,0.000,0.000,0.174,0.019,0.889,0.209,0.206,9.562
3363659,0.920,0.145,-0.049,0.000,0.000,0.165,0.012,0.882,0.120,0.235,9.553
3371565,0.920,0.143,-0.048,0.000,0.000,0.156,0.009,0.870,0.018,0.249,9.549
3379473,0.920,0.141,-0.048,0.000,0.000,0.150,0.009,0.852,-0.109,0.264,9.559
3387381,0.920,0.139,-0.047,0.000,0.000,0.142,0.011,0.829,-0.190,0.281,9.604
3395286,0.920,0.137,-0.046,0.000,0.000,0.134,0.014,0.803,-0.231,0.279,9.666
3403190,0.920,0.135,-0.045,0.267,0.000,0.123,0.018,0.774,-0.262,0.265,9.755
3411100,0.920,0.134,-0.044,0.267,0.000,0.111,0.023,0.743,-0.289,0.264,9.839
3419006,0.920,0.134,-0.043,0.400,0.000,0.096,0.027,0.711,-0.261,0.269,9.914
3426913,0.920,0.134,-0.042,0.267,0.000,0.080,0.030,0.682,-0.211,0.261,9.965
3434820,0.920,0.133,-0.041,0.000,0.000,0.062,0.029,0.655,-0.126,0.246,10.026
3442727,0.920,0.133,-0.040,0.000,0.000,0.042,0.029,0.633,-0.019,0.212,10.111
3450635,0.920,0.132,-0.039,0.000,0.000,0.021,0.025,0.615,0.081,0.181,10.145
3458541,0.920,0.131,-0.038,0.000,0.000,0.001,0.023,0.602,0.163,0.143,10.210
3466446,0.920,0.129,-0.037,0.000,0.000,-0.021,0.021,0.593,0.242,0.112,10.283
3474355,0.920,0.128,-0.036,0.000,0.000,-0.041,0.020,0.587,0.287,0.094,10.308
3482259,0.920,0.126,-0.035,0.000,0.000,-0.059,0.019,0.583,0.324,0.076,10.302
3490165,0.920,0.124,-0.034,0.000,0.000,-0.073,0.018,0.579,0.338,0.051,10.270
3498072,0.920,0.122,-0.033,0.000,0.000,-0.088,0.017,0.576,0.328,0.032,10.284
3505979,0.920,0.120,-0.033,0.000,0.000,-0.101,0.017,0.571,0.297,0.029,10.240
3513884,0.920,0.118,-0.032,0.000,0.000,-0.110,0.018,0.564,0.251,0.031,10.172
3521792,0.920,0.116,-0.031,0.000,0.000,-0.117,0.023,0.554,0.183,0.046,10.131
3529699,0.920,0.113,-0.030,0.000,0.000,-0.120,0.030,0.542,0.113,0.065,10.057
3537604,0.920,0.111,-0.029,0.000,0.000,-0.121,0.039,0.527,0.041,0.103,9.967
3545511,0.920,0.108,-0.028,0.000,0.000,-0.117,0.049,0.510,-0.020,0.144,9.866
3553423,0.920,0.106,-0.027,0.000,0.000,-0.112,0.058,0.492,-0.056,0.192,9.781
3561323,0.920,0.103,-0.026,0.000,0.000,-0.103,0.068,0.473,-0.091,0.217,9.682
3569236,0.920,0.101,-0.025,0.000,0.000,-0.093,0.078,0.455,-0.098,0.257,9.636
3577137,0.920,0.098,-0.025,0.000,0.000,-0.081,0.086,0.438,-0.074,0.287,9.562
3585041,0.920,0.096,-0.024,0.000,0.000,-0.067,0.091,0.424,-0.026,0.311,9.513
3592948,0.920,0.093,-0.023,0.000,0.000,-0.054,0.095,0.413,-0.001,0.336,9.493
3600856,0.920,0.091,-0.022,0.267,0.000,-0.040,0.096,0.405,0.027,0.360,9.484
3608760,0.920,0.090,-0.022,0.000,0.000,-0.027,0.095,0.399,0.047,0.370,9.470
3616667,0.920,0.089,-0.020,0.400,0.267,-0.014,0.092,0.396,0.065,0.368,9.458
3624573,0.920,0.088,-0.019,0.267,0.000,-0.003,0.087,0.394,0.074,0.367,9.512
3632483,0.920,0.088,-0.017,0.000,0.267,0.008,0.078,0.392,0.050,0.377,9.516
3640389,0.920,0.087,-0.015,0.000,0.000,0.015,0.063,0.390,0.024,0.368,9.560
