t_us, Position.x, Position.y, Height, Heading, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.z, u_x, u_y, u_yaw, m1, m2, m3, m4
3210608,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,125,125,125,125
3222472,0.000,0.000,0.165,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3227247,0.000,0.000,0.281,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3235147,0.000,0.000,0.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
3243051,0.000,0.000,0.418,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
3250951,0.000,0.000,0.458,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
3258850,0.000,0.000,0.485,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
3266751,0.000,0.000,0.505,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
3274651,0.000,0.000,0.518,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
3282549,0.000,0.000,0.528,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
3290451,0.000,0.000,0.534,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
3298351,0.000,0.000,0.539,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3306250,0.000,0.000,0.542,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3314150,0.000,0.000,0.545,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
3322051,0.000,0.000,0.546,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
3329951,0.000,0.000,0.547,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
3337852,0.000,0.000,0.548,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
3345751,0.000,0.000,0.549,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
3353649,0.000,0.000,0.549,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3361549,0.000,0.000,0.549,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,120,120,120,120
3369446,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3377348,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,120,120,120,120
3385247,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,120,120,120,120
3393147,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,120,120,120,120
3401049,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,120,120,120,120
3408946,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,120,120,120,120
3416846,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,120,120,120,120
3424746,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,120,120,120,120
3432642,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,120,120,120,120
3440544,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,120,120,120,120
3448444,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,120,120,120,120
3456344,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,120,120,120,120
3464243,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
3472139,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
3480042,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3487939,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,120,120,120,120
3495842,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3503740,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
3511641,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
3519538,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3527438,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3535338,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3543238,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3551140,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3559040,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3566934,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3574834,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3582730,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3590632,0.000,0.000,0.550,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
3598533,0.000,0.000,0.547,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
