t_us, Height, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.x, Omega.y, Omega.z, Acc.x, Acc.y, Acc.z
3524513,0.008,-0.000,-0.000,0.000,0.000,-0.018,0.003,-0.001,-0.240,0.102,9.852
3532463,0.006,-0.000,-0.000,0.000,0.000,-0.017,0.004,-0.001,-0.225,0.095,9.822
3540415,0.007,-0.000,-0.000,0.000,0.000,-0.017,0.003,-0.001,-0.221,0.094,9.829
3548359,0.008,-0.000,-0.000,0.000,0.000,-0.017,0.003,-0.001,-0.220,0.089,9.831
3556311,0.006,-0.000,-0.000,0.000,0.000,-0.017,0.003,-0.001,-0.228,0.096,9.842
3564260,0.007,-0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.244,0.093,9.818
3572210,0.005,-0.000,-0.000,0.000,0.000,-0.016,0.004,-0.002,-0.258,0.100,9.850
3580147,0.003,0.000,-0.000,0.000,0.000,-0.017,0.004,-0.002,-0.247,0.096,9.831
3588109,0.005,0.000,-0.000,0.000,0.000,-0.017,0.004,-0.002,-0.239,0.097,9.843
3596055,0.007,0.000,-0.000,0.000,0.000,-0.017,0.003,-0.001,-0.228,0.090,9.820
3604006,0.008,0.000,-0.000,0.000,0.000,-0.017,0.003,-0.001,-0.229,0.098,9.832
3611954,0.008,0.000,-0.000,0.000,0.000,-0.017,0.004,-0.001,-0.228,0.088,9.840
3619903,0.009,0.000,-0.000,0.000,0.000,-0.016,0.004,-0.001,-0.230,0.092,9.826
3627855,0.009,0.000,-0.000,0.000,0.000,-0.017,0.004,-0.001,-0.226,0.085,9.834
3635801,0.006,0.000,-0.000,0.000,0.000,-0.017,0.003,-0.001,-0.241,0.100,9.815
3643739,0.005,0.000,-0.000,0.000,0.000,-0.017,0.004,-0.001,-0.234,0.094,9.845
3651688,0.003,0.000,-0.000,0.000,0.000,-0.017,0.002,-0.001,-0.237,0.092,9.822
3659638,0.002,0.000,-0.000,0.000,0.000,-0.018,0.002,-0.000,-0.235,0.084,9.830
3667598,0.005,0.000,-0.000,0.000,0.000,-0.017,0.001,0.000,-0.242,0.097,9.829
3675548,0.006,0.000,-0.000,0.000,0.000,-0.016,0.002,0.000,-0.243,0.106,9.840
3683497,0.004,-0.000,-0.000,-0.001,0.000,-0.016,0.002,-0.000,-0.234,0.110,9.835
3691445,0.006,-0.000,-0.000,0.000,0.000,-0.016,0.003,-0.000,-0.228,0.113,9.861
3699395,0.004,-0.000,-0.000,0.000,0.000,-0.016,0.002,-0.000,-0.214,0.104,9.849
3707342,0.006,-0.000,-0.000,0.000,0.000,-0.016,0.002,0.000,-0.212,0.101,9.854
3715293,0.007,-0.000,-0.000,-0.002,0.000,-0.017,0.002,-0.000,-0.229,0.112,9.857
