t_us, Position.x, Position.y, Height, Heading, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.z, u_x, u_y, u_yaw, m1, m2, m3, m4
3067351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,125,125,125,125
3084394,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,-0.007,0.000,0.000,0.000,120,120,120,120
3092284,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.000,-0.019,0.000,0.000,0.000,120,120,120,120
3100176,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,-0.012,0.000,0.000,0.000,120,120,120,120
3108067,0.000,0.000,0.022,0.000,0.000,0.000,0.000,0.000,-0.004,0.000,0.000,0.000,120,120,120,120
3115958,0.000,0.000,0.025,0.000,0.000,0.000,0.000,0.000,-0.006,0.000,0.000,0.000,120,120,120,120
3123850,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000,-0.003,0.000,0.000,0.000,120,120,120,120
3131741,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,-0.004,0.000,0.000,0.000,120,120,120,120
3139632,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,-0.005,0.000,0.000,0.000,120,120,120,120
3147530,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3155414,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000,-0.002,0.000,0.000,0.000,120,120,120,120
3163305,0.000,0.000,0.022,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3171195,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
3179088,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
3186980,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,120,120,120,120
3194870,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,120,120,120,120
3202763,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3210651,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3218545,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
3226435,0.000,0.000,0.029,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3234320,0.000,0.000,0.032,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3242218,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3250108,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,120,120,120,120
3257998,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000,-0.006,0.000,0.000,0.000,120,120,120,120
3265888,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000,-0.003,0.000,0.000,0.000,120,120,120,120
3273781,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,120,120,120,120
3281672,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
3289564,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,120,120,120,120
3297455,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3305343,0.000,0.000,0.022,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3313233,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,-0.004,0.000,0.000,0.000,120,120,120,120
3321124,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,-0.005,0.000,0.000,0.000,120,120,120,120
3329018,0.000,0.000,0.029,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3336907,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
3344799,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3352690,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3360581,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,120,120,120,120
3368470,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
3376362,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
3384253,0.000,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
