t_us, Position.x, Position.y, Height, Heading, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.z, u_x, u_y, u_yaw, m1, m2, m3, m4
3269080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,125,125,125,125
3276450,0.000,0.000,0.072,0.000,-0.001,0.000,-0.031,0.000,-0.004,0.000,0.000,0.000,120,120,120,120
3278550,0.000,0.000,0.122,0.000,-0.002,0.000,0.000,0.000,-0.007,0.000,0.000,0.000,120,120,120,120
3286233,0.000,0.000,0.158,0.000,-0.002,0.000,0.000,0.000,-0.011,0.000,0.000,0.000,120,120,120,120
3294155,0.000,0.000,0.182,0.000,-0.002,0.000,0.000,0.000,-0.014,0.000,0.000,0.000,120,120,120,120
3302080,0.000,0.000,0.200,0.000,-0.002,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3310002,0.000,0.000,0.212,0.000,-0.002,0.000,0.000,0.000,-0.018,0.000,0.000,0.000,120,120,120,120
3317928,0.000,0.000,0.220,0.000,-0.002,0.000,0.000,0.000,-0.020,0.000,0.000,0.000,120,120,120,120
3325852,0.000,0.000,0.226,0.000,-0.001,0.000,0.000,0.000,-0.021,0.000,0.000,0.000,120,120,120,120
3333775,0.000,0.000,0.230,0.000,-0.001,0.000,0.000,0.000,-0.022,0.000,0.000,0.000,120,120,120,120
3341699,0.000,0.000,0.233,0.000,-0.000,0.000,0.000,0.000,-0.023,0.000,0.000,0.000,120,120,120,120
3349623,0.000,0.000,0.235,0.000,0.000,0.000,0.000,0.000,-0.024,0.000,0.000,0.000,120,120,120,120
3357546,0.000,0.000,0.237,0.000,0.001,0.000,0.000,0.000,-0.025,0.000,0.000,0.000,120,120,120,120
3365470,0.000,0.000,0.238,0.000,0.001,0.000,0.000,0.000,-0.026,0.000,0.000,0.000,120,120,120,120
3373392,0.000,0.000,0.238,0.000,0.002,0.000,0.000,0.000,-0.027,0.000,0.000,0.000,120,120,120,120
3381314,0.000,0.000,0.239,0.000,0.002,0.000,0.000,0.000,-0.027,0.000,0.000,0.000,120,120,120,120
3389240,0.000,0.000,0.239,0.000,0.002,0.000,0.000,0.000,-0.027,0.000,0.000,0.000,120,120,120,120
3397163,0.000,0.000,0.239,0.000,0.003,0.001,0.000,0.000,-0.026,0.000,0.000,0.000,120,120,120,120
3405090,0.000,0.000,0.240,0.000,0.003,0.001,0.000,0.000,-0.026,0.000,0.000,0.000,120,120,120,120
3413013,0.000,0.000,0.240,0.000,0.004,0.001,0.000,0.000,-0.025,0.000,0.000,0.000,120,120,120,120
3420936,0.000,0.000,0.240,0.000,0.004,0.001,0.000,0.000,-0.025,0.000,0.000,0.000,120,120,120,120
3428860,0.000,0.000,0.240,0.000,0.004,0.001,0.000,0.000,-0.024,0.000,0.000,0.000,120,120,120,120
3436782,0.000,0.000,0.240,0.000,0.004,0.001,0.000,0.000,-0.023,0.000,0.000,0.000,120,120,120,120
3444707,0.000,0.000,0.240,0.000,0.004,0.000,0.000,0.000,-0.022,0.000,0.000,0.000,120,120,120,120
3452629,0.000,0.000,0.240,0.000,0.004,0.000,0.000,0.000,-0.021,0.000,0.000,0.000,120,120,120,120
3460550,0.000,0.000,0.240,0.000,0.004,0.000,0.000,0.000,-0.020,0.000,0.000,0.000,120,120,120,120
3468477,0.000,0.000,0.240,0.000,0.004,-0.000,0.000,0.000,-0.018,0.000,0.000,0.000,120,120,120,120
3476400,0.000,0.000,0.240,0.000,0.004,-0.000,0.000,0.000,-0.017,0.000,0.000,0.000,120,120,120,120
3484324,0.000,0.000,0.240,0.000,0.003,-0.001,0.000,0.000,-0.015,0.000,0.000,0.000,120,120,120,120
3492249,0.000,0.000,0.240,0.000,0.003,-0.001,0.000,0.000,-0.014,0.000,0.000,0.000,120,120,120,120
3500174,0.000,0.000,0.240,0.000,0.003,-0.001,0.000,0.000,-0.012,0.000,0.000,0.000,120,120,120,120
3508092,0.000,0.000,0.240,0.000,0.002,-0.002,0.000,0.000,-0.011,0.000,0.000,0.000,120,120,120,120
3516021,0.000,0.000,0.240,0.000,0.002,-0.002,0.000,0.000,-0.009,0.000,0.000,0.000,120,120,120,120
3523944,0.000,0.000,0.240,0.000,0.001,-0.002,0.000,0.000,-0.008,0.000,0.000,0.000,120,120,120,120
3531865,0.000,0.000,0.240,0.000,0.001,-0.002,0.000,0.000,-0.006,0.000,0.000,0.000,120,120,120,120
3539790,0.000,0.000,0.240,0.000,0.001,-0.003,0.000,0.000,-0.004,0.000,0.000,0.000,120,120,120,120
3547714,0.000,0.000,0.240,0.000,0.000,-0.003,0.000,0.000,-0.003,0.000,0.000,0.000,120,120,120,120
3555640,0.000,0.000,0.240,0.000,-0.000,-0.003,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3563562,0.000,0.000,0.240,0.000,-0.000,-0.003,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
3571484,0.000,0.000,0.240,0.000,-0.001,-0.004,0.000,0.000,0.003,0.000,0.000,0.000,120,120,120,120
3579411,0.000,0.000,0.240,0.000,-0.001,-0.004,0.000,0.000,0.005,0.000,0.000,0.000,120,120,120,120
3587336,0.000,0.000,0.240,0.000,-0.001,-0.004,0.000,0.000,0.007,0.000,0.000,0.000,120,120,120,120
3595258,0.000,0.000,0.240,0.000,-0.002,-0.004,0.000,0.000,0.009,0.000,0.000,0.000,120,120,120,120
3603183,0.000,0.000,0.240,0.000,-0.002,-0.005,0.000,0.000,0.011,0.000,0.000,0.000,120,120,120,120
3611107,0.000,0.000,0.240,0.000,-0.003,-0.005,0.000,0.000,0.013,0.000,0.000,0.000,120,120,120,120
3619032,0.000,0.000,0.240,0.000,-0.003,-0.006,0.000,0.000,0.014,0.000,0.000,0.000,120,120,120,120
3626955,0.000,0.000,0.240,0.000,-0.004,-0.006,0.000,0.000,0.016,0.000,0.000,0.000,120,120,120,120
3634879,0.000,0.000,0.240,0.000,-0.004,-0.007,0.000,0.000,0.019,0.000,0.000,0.000,120,120,120,120
3642804,0.000,0.000,0.240,0.000,-0.005,-0.007,0.000,0.000,0.021,0.000,0.000,0.000,120,120,120,120
3650723,0.000,0.000,0.240,0.000,-0.006,-0.008,0.000,0.000,0.022,0.000,0.000,0.000,120,120,120,120
3658652,0.000,0.000,0.240,0.000,-0.006,-0.008,0.000,0.000,0.024,0.000,0.000,0.000,120,120,120,120
3666572,0.000,0.000,0.240,0.000,-0.007,-0.009,0.000,0.000,0.026,0.000,0.000,0.000,120,120,120,120
3674498,0.000,0.000,0.240,0.000,-0.008,-0.009,0.000,0.000,0.027,0.000,0.000,0.000,120,120,120,120
3682419,0.000,0.000,0.240,0.000,-0.008,-0.010,0.000,0.000,0.028,0.000,0.000,0.000,120,120,120,120
3690345,0.000,0.000,0.240,0.000,-0.008,-0.010,0.000,0.000,0.029,0.000,0.000,0.000,120,120,120,120
3698269,0.000,0.000,0.240,0.000,-0.009,-0.010,0.000,0.000,0.030,0.000,0.000,0.000,120,120,120,120
3706193,0.000,0.000,0.240,0.000,-0.009,-0.010,0.000,0.000,0.031,0.000,0.000,0.000,120,120,120,120
3714118,0.000,0.000,0.240,0.000,-0.009,-0.010,0.000,0.000,0.032,0.000,0.000,0.000,120,120,120,120
3722043,0.000,0.000,0.240,0.000,-0.010,-0.010,0.000,0.000,0.033,0.000,0.000,0.000,120,120,120,120
3729963,0.000,0.000,0.240,0.000,-0.010,-0.010,0.000,0.000,0.034,0.000,0.000,0.000,120,120,120,120
3737890,0.000,0.000,0.240,0.000,-0.010,-0.010,0.000,0.000,0.036,0.000,0.000,0.000,120,120,120,120
3745812,0.000,0.000,0.240,0.000,-0.010,-0.010,0.000,0.000,0.037,0.000,0.000,0.000,120,120,120,120
3753736,0.000,0.000,0.240,0.000,-0.010,-0.010,0.000,0.000,0.039,0.000,0.000,0.000,120,120,120,120
3761660,0.000,0.000,0.240,0.000,-0.010,-0.010,0.000,0.000,0.040,0.000,0.000,0.000,120,120,120,120
3769584,0.000,0.000,0.240,0.000,-0.010,-0.010,0.000,0.000,0.041,0.000,0.000,0.000,120,120,120,120
