t_us, Height, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.x, Omega.y, Omega.z, Acc.x, Acc.y, Acc.z
3267084,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3274590,0.195,0.000,0.000,0.000,0.000,-0.005,0.001,-0.001,-0.002,0.013,1.370
3278546,0.310,0.000,0.000,0.000,0.000,-0.008,0.002,-0.001,-0.020,0.037,2.594
3286487,0.391,0.000,0.000,0.000,0.000,-0.010,0.002,-0.001,-0.016,0.030,3.647
3294433,0.445,0.000,0.000,0.000,0.000,-0.013,0.003,-0.000,-0.025,0.040,4.517
3302376,0.482,0.000,0.000,0.000,0.000,-0.014,0.002,-0.000,-0.030,0.048,5.220
3310320,0.509,0.000,0.000,0.000,0.000,-0.014,0.002,-0.001,-0.020,0.059,5.858
3318259,0.527,0.000,0.000,0.000,0.000,-0.016,0.003,-0.001,-0.027,0.064,6.431
3326203,0.540,0.000,0.000,0.000,0.000,-0.017,0.003,-0.000,-0.018,0.051,6.887
3334146,0.549,0.000,0.000,0.000,0.000,-0.017,0.002,0.000,-0.037,0.058,7.283
3342087,0.555,0.000,0.000,0.000,0.000,-0.018,0.003,0.000,-0.041,0.065,7.660
3350028,0.557,0.000,0.000,0.000,0.000,-0.019,0.002,-0.000,-0.056,0.076,7.938
3357972,0.558,0.000,0.000,0.000,0.000,-0.019,0.002,-0.001,-0.064,0.078,8.214
3365913,0.555,0.000,0.000,0.000,0.000,-0.020,0.002,-0.001,-0.050,0.073,8.462
3373857,0.554,0.000,0.000,0.000,0.000,-0.020,0.002,-0.000,-0.048,0.064,8.658
3381801,0.553,0.000,0.000,0.000,0.000,-0.021,0.002,-0.001,-0.068,0.073,8.810
3389742,0.552,0.000,0.000,0.000,0.000,-0.021,0.002,-0.001,-0.076,0.065,8.922
3397685,0.548,0.000,0.000,0.000,0.000,-0.021,0.004,-0.000,-0.062,0.043,9.074
3405626,0.543,0.000,0.000,0.000,0.000,-0.023,0.004,0.000,-0.055,0.031,9.186
3413570,0.536,0.000,0.000,0.000,0.000,-0.023,0.005,-0.000,-0.083,0.043,9.277
3421513,0.531,0.000,0.000,0.000,0.000,-0.023,0.004,0.000,-0.086,0.037,9.332
3429455,0.522,0.000,0.000,0.000,0.000,-0.022,0.004,0.001,-0.077,0.037,9.391
3437394,0.515,0.000,0.000,0.000,0.000,-0.021,0.004,0.000,-0.088,0.055,9.463
3445338,0.505,0.000,0.000,0.000,0.000,-0.020,0.004,-0.000,-0.084,0.057,9.511
3453282,0.497,0.000,0.000,0.000,0.000,-0.020,0.003,-0.000,-0.070,0.050,9.566
3461223,0.489,0.000,0.000,0.000,0.000,-0.020,0.004,-0.000,-0.064,0.044,9.608
3469166,0.480,0.000,0.000,0.000,0.000,-0.019,0.004,-0.000,-0.072,0.042,9.600
3477108,0.471,0.000,0.000,0.000,0.000,-0.017,0.005,-0.001,-0.088,0.033,9.629
3485051,0.462,0.000,0.000,0.000,0.000,-0.017,0.003,-0.001,-0.075,0.021,9.631
3492994,0.452,0.000,0.000,0.000,0.000,-0.016,0.004,-0.001,-0.072,0.027,9.685
3500934,0.443,0.000,0.000,0.000,0.000,-0.015,0.003,-0.002,-0.078,0.045,9.681
3508875,0.430,0.000,0.000,0.000,0.000,-0.015,0.003,-0.002,-0.048,0.041,9.743
3516820,0.415,0.000,0.000,0.000,0.000,-0.017,0.003,-0.001,-0.038,0.059,9.777
3524762,0.401,0.000,0.000,0.000,0.000,-0.018,0.003,-0.002,-0.043,0.084,9.777
3532703,0.392,0.000,0.000,0.000,0.000,-0.019,0.003,-0.001,-0.034,0.074,9.775
3540647,0.382,0.000,0.000,0.000,0.000,-0.020,0.003,-0.001,-0.020,0.071,9.796
3548588,0.373,0.000,0.000,0.000,0.000,-0.019,0.002,-0.001,-0.044,0.068,9.762
3556531,0.363,0.000,0.000,0.000,0.000,-0.019,0.002,-0.000,-0.029,0.047,9.787
3564473,0.353,0.000,0.000,0.000,0.000,-0.019,0.002,-0.001,-0.046,0.053,9.791
3572414,0.340,0.000,0.000,0.000,0.000,-0.018,0.003,-0.001,-0.042,0.041,9.808
3580356,0.328,0.000,0.000,0.000,0.000,-0.019,0.003,-0.000,-0.033,0.034,9.823
3588298,0.317,0.000,0.000,0.000,0.000,-0.020,0.003,0.000,-0.050,0.039,9.829
3596239,0.309,0.000,0.000,0.000,0.000,-0.020,0.003,-0.000,-0.069,0.055,9.809
3604182,0.297,0.000,0.000,0.000,0.000,-0.020,0.002,0.001,-0.057,0.036,9.808
3612122,0.286,0.000,0.000,0.000,0.000,-0.019,0.003,0.000,-0.078,0.050,9.825
3620064,0.275,0.000,0.000,0.000,0.000,-0.018,0.002,-0.000,-0.087,0.053,9.803
3628007,0.265,0.000,0.000,0.000,0.000,-0.018,0.003,0.001,-0.076,0.043,9.818
3635948,0.254,0.000,0.000,0.000,0.000,-0.017,0.003,0.001,-0.077,0.049,9.805
3643890,0.247,0.000,0.000,0.000,0.000,-0.017,0.002,0.000,-0.088,0.062,9.807
3651832,0.239,0.000,0.000,0.000,0.000,-0.016,0.002,0.001,-0.078,0.054,9.824
3659773,0.233,0.000,0.000,0.000,0.000,-0.017,0.003,-0.000,-0.088,0.071,9.851
3667716,0.229,0.000,0.000,0.000,0.000,-0.017,0.003,0.000,-0.068,0.056,9.836
3675658,0.223,0.000,0.000,0.000,0.000,-0.017,0.003,-0.000,-0.088,0.071,9.814
3683597,0.219,0.000,0.000,0.000,0.000,-0.017,0.002,0.000,-0.074,0.069,9.836
3691536,0.217,0.000,0.000,0.000,0.000,-0.018,0.002,-0.000,-0.082,0.092,9.874
3699482,0.215,0.000,0.000,0.000,0.000,-0.019,0.003,-0.001,-0.081,0.098,9.891
3707421,0.213,0.000,0.000,0.000,0.000,-0.018,0.002,-0.001,-0.071,0.079,9.840
3715363,0.209,0.000,0.000,0.000,0.000,-0.018,0.004,-0.001,-0.094,0.080,9.861
3723304,0.206,0.000,0.000,0.000,0.000,-0.018,0.003,-0.001,-0.092,0.057,9.839
3731242,0.205,0.000,0.000,0.000,0.000,-0.018,0.003,0.000,-0.079,0.029,9.835
3739185,0.203,0.000,0.000,0.000,0.000,-0.017,0.004,-0.001,-0.093,0.050,9.821
3747127,0.202,0.000,0.000,0.000,0.000,-0.017,0.003,-0.001,-0.089,0.044,9.809
3755067,0.202,0.000,0.000,0.000,0.000,-0.018,0.002,-0.001,-0.083,0.050,9.822
3763007,0.201,0.000,0.000,0.000,0.000,-0.018,0.002,-0.001,-0.092,0.065,9.825
3770948,0.201,0.000,0.000,0.000,0.000,-0.017,0.002,-0.001,-0.085,0.070,9.808
3778890,0.201,0.000,0.000,0.000,0.000,-0.018,0.003,-0.000,-0.079,0.069,9.844
3786832,0.200,0.000,0.000,0.000,0.000,-0.018,0.003,-0.001,-0.088,0.082,9.824
3794773,0.200,0.000,0.000,0.000,0.000,-0.019,0.003,-0.001,-0.056,0.056,9.834
3802714,0.200,0.000,0.000,0.000,0.000,-0.018,0.002,-0.000,-0.063,0.056,9.789
3810656,0.200,0.000,0.000,0.000,0.000,-0.018,0.002,-0.000,-0.068,0.054,9.808
3818594,0.200,0.000,0.000,0.000,0.000,-0.017,0.002,-0.001,-0.066,0.054,9.783
3826536,0.200,0.000,0.000,0.000,0.000,-0.017,0.002,-0.001,-0.067,0.044,9.804
3834479,0.200,0.000,0.000,0.000,0.000,-0.016,0.003,-0.001,-0.056,0.047,9.804
3842419,0.203,0.000,0.000,0.000,0.000,-0.016,0.002,-0.000,-0.042,0.050,9.805
3850360,0.205,0.000,0.000,0.000,0.000,-0.016,0.003,-0.000,-0.047,0.069,9.831
3858301,0.207,0.000,0.000,0.000,0.000,-0.016,0.002,-0.000,-0.038,0.065,9.828
3866241,0.211,0.000,0.000,0.000,0.000,-0.016,0.003,0.000,-0.031,0.061,9.834
3874180,0.216,0.000,0.000,0.000,0.000,-0.017,0.004,0.001,-0.027,0.047,9.860
3882122,0.220,0.000,0.000,0.000,0.000,-0.017,0.003,0.001,-0.052,0.073,9.818
3890065,0.226,0.000,0.000,0.000,0.000,-0.017,0.003,0.001,-0.055,0.068,9.821
3898006,0.233,0.000,0.000,0.000,0.000,-0.016,0.004,-0.001,-0.082,0.086,9.809
3905945,0.241,0.000,0.000,0.000,0.000,-0.016,0.004,-0.000,-0.052,0.054,9.810
3913887,0.250,0.000,0.000,0.000,0.000,-0.016,0.004,0.000,-0.051,0.058,9.820
3921828,0.259,0.000,0.000,0.000,0.000,-0.016,0.003,-0.000,-0.043,0.075,9.834
3929769,0.274,0.000,0.000,0.000,0.000,-0.016,0.004,-0.000,-0.048,0.074,9.860
3937709,0.303,0.000,0.000,0.000,0.000,-0.017,0.004,-0.001,-0.057,0.082,9.875
3945650,0.353,0.000,0.000,0.000,0.000,-0.017,0.004,0.000,-0.036,0.065,9.861
3953592,0.427,0.000,0.000,0.000,0.000,-0.018,0.003,-0.000,-0.061,0.077,9.836
3961532,0.509,0.000,0.000,0.000,0.000,-0.018,0.003,-0.000,-0.064,0.048,9.872
3969473,0.584,0.000,0.000,0.000,0.000,-0.018,0.004,-0.001,-0.078,0.049,9.835
3977412,0.643,0.000,0.000,0.000,0.000,-0.017,0.003,-0.001,-0.074,0.033,9.805
3985353,0.684,0.000,0.000,0.000,0.000,-0.017,0.003,-0.002,-0.098,0.049,9.818
3993294,0.716,0.000,0.000,0.000,0.000,-0.017,0.002,-0.002,-0.075,0.031,9.803
4001234,0.738,0.000,0.000,0.000,0.000,-0.016,0.003,-0.002,-0.078,0.034,9.806
4009175,0.754,0.000,0.000,0.000,0.000,-0.015,0.003,-0.001,-0.112,0.076,9.862
4017118,0.765,0.000,0.000,0.000,0.000,-0.014,0.004,-0.002,-0.101,0.094,9.874
4025057,0.772,0.000,0.000,0.000,0.000,-0.016,0.004,-0.002,-0.065,0.067,9.860
4032997,0.778,0.000,0.000,0.000,0.000,-0.018,0.003,-0.001,-0.076,0.085,9.859
4040939,0.781,0.000,0.000,0.000,0.000,-0.018,0.002,-0.001,-0.111,0.106,9.865
4048879,0.784,0.000,0.000,0.000,0.000,-0.018,0.004,-0.001,-0.092,0.079,9.869
4056820,0.786,0.000,0.000,0.000,0.000,-0.017,0.003,-0.000,-0.079,0.066,9.809
4064762,0.787,0.000,0.000,0.000,0.000,-0.019,0.002,-0.000,-0.094,0.074,9.867
4072702,0.788,0.000,0.000,0.000,0.000,-0.019,0.002,-0.001,-0.096,0.082,9.871
4080642,0.789,0.000,0.000,0.000,0.000,-0.019,0.003,-0.001,-0.058,0.059,9.857
4088585,0.789,0.000,0.000,0.000,0.000,-0.020,0.003,-0.000,-0.054,0.058,9.850
4096526,0.789,0.000,0.000,0.000,0.000,-0.019,0.003,-0.001,-0.070,0.071,9.827
4104467,0.789,0.000,0.000,0.000,0.000,-0.018,0.003,-0.001,-0.060,0.053,9.821
4112408,0.790,0.000,0.000,0.000,0.000,-0.018,0.004,-0.001,-0.042,0.036,9.844
4120349,0.790,0.000,0.000,0.000,0.000,-0.019,0.002,-0.000,-0.052,0.036,9.804
4128288,0.790,0.000,0.000,0.000,0.000,-0.017,0.002,-0.001,-0.064,0.048,9.808
4136230,0.790,0.000,0.000,0.000,0.000,-0.017,0.002,-0.000,-0.048,0.039,9.827
4144172,0.790,0.000,0.000,0.000,0.000,-0.017,0.002,-0.000,-0.044,0.043,9.836
4152110,0.790,0.000,0.000,0.000,0.000,-0.018,0.002,-0.001,-0.058,0.049,9.818
