t_us, Position.x, Position.y, Height, Heading, Velocity.x, Velocity.y, u_vx, u_vy, Omega.z, u_x, u_y, u_yaw, m1, m2, m3, m4
3067719,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,125,125,125,125
3085973,0.000,0.000,0.297,0.000,-0.029,-0.021,0.000,0.000,-0.006,0.000,0.000,0.000,120,120,120,120
3093289,0.000,0.000,0.505,0.000,-0.047,-0.033,0.000,0.000,-0.011,0.000,0.000,0.000,120,120,120,120
3101219,0.000,0.000,0.650,0.000,-0.064,-0.040,0.000,0.000,-0.016,0.000,0.000,0.000,120,120,120,120
3109154,0.000,0.000,0.752,0.000,-0.072,-0.042,0.000,0.000,-0.021,0.000,0.000,0.000,120,120,120,120
3117082,0.000,0.000,0.824,0.000,-0.074,-0.042,0.000,0.000,-0.026,0.000,0.000,0.000,120,120,120,120
3125012,0.000,0.000,0.874,0.000,-0.073,-0.041,0.000,0.000,-0.030,0.000,0.000,0.000,120,120,120,120
3132945,0.000,0.000,0.908,0.000,-0.069,-0.038,0.000,0.000,-0.034,0.000,0.000,0.000,120,120,120,120
3140874,0.000,0.000,0.933,0.000,-0.064,-0.035,0.000,0.000,-0.037,0.000,0.000,0.000,120,120,120,120
3148806,0.000,0.000,0.950,0.000,-0.058,-0.031,0.000,0.000,-0.038,0.000,0.000,0.000,120,120,120,120
3156736,0.000,0.000,0.962,0.000,-0.052,-0.028,0.000,0.000,-0.038,0.000,0.000,0.000,120,120,120,120
3164667,0.000,0.000,0.970,0.000,-0.046,-0.024,0.000,0.000,-0.036,0.000,0.000,0.000,120,120,120,120
3172596,0.000,0.000,0.976,0.000,-0.052,-0.021,0.000,0.000,-0.033,0.000,0.000,0.000,120,120,120,120
3180528,0.000,0.000,0.980,0.000,-0.070,-0.018,0.000,0.000,-0.027,0.000,0.000,0.000,120,120,120,120
3188458,0.000,0.000,0.983,0.000,-0.091,-0.016,0.000,0.000,-0.019,0.000,0.000,0.000,120,120,120,120
3196390,0.000,0.000,0.985,0.000,-0.117,-0.014,0.000,0.000,-0.008,0.000,0.000,0.000,120,120,120,120
3204321,0.000,0.000,0.987,0.000,-0.130,-0.012,0.000,0.000,0.004,0.000,0.000,0.000,120,120,120,120
3212250,0.000,0.000,0.988,0.000,-0.132,-0.010,0.000,0.000,0.017,0.000,0.000,0.000,120,120,120,120
3220179,0.000,0.000,0.988,0.000,-0.129,-0.008,0.000,0.000,0.028,0.000,0.000,0.000,120,120,120,120
3228111,0.000,0.000,0.989,0.000,-0.121,-0.007,0.000,0.000,0.030,0.000,0.000,0.000,120,120,120,120
3236041,0.000,0.000,0.989,0.000,-0.112,-0.006,0.000,0.000,0.029,0.000,0.000,0.000,120,120,120,120
3243972,0.000,0.000,0.989,0.000,-0.101,-0.005,0.000,0.000,0.024,0.000,0.000,0.000,120,120,120,120
3251902,0.000,0.000,0.990,0.000,-0.090,-0.004,0.000,0.000,0.018,0.000,0.000,0.000,120,120,120,120
3259833,0.000,0.000,0.990,0.000,-0.080,-0.004,0.000,0.000,0.012,0.000,0.000,0.000,120,120,120,120
3267762,0.000,0.000,0.990,0.000,-0.070,-0.003,0.000,0.000,0.005,0.000,0.000,0.000,120,120,120,120
3275692,0.000,0.000,0.990,0.000,-0.061,-0.002,0.000,0.000,-0.002,0.000,0.000,0.000,120,120,120,120
3283623,0.000,0.000,0.990,0.000,-0.052,-0.002,0.000,0.000,-0.009,0.000,0.000,0.000,120,120,120,120
3291555,0.000,0.000,0.990,0.000,-0.045,-0.002,0.000,0.000,-0.018,0.000,0.000,0.000,120,120,120,120
3299486,0.000,0.000,0.990,0.000,-0.038,-0.001,0.000,0.000,-0.027,0.000,0.000,0.000,120,120,120,120
3307421,0.000,0.000,0.990,0.000,-0.033,0.010,0.000,0.000,-0.037,0.000,0.000,0.000,120,120,120,120
3315349,0.000,0.000,0.990,0.000,-0.028,0.017,0.000,0.000,-0.047,0.000,0.000,0.000,120,120,120,120
3323278,0.000,0.000,0.990,0.000,-0.023,0.021,0.000,0.000,-0.056,0.000,0.000,0.000,120,120,120,120
3331206,0.000,0.000,0.990,0.000,-0.020,0.023,0.000,0.000,-0.065,0.000,0.000,0.000,120,120,120,120
3339138,0.000,0.000,0.990,0.000,-0.017,0.023,0.000,0.000,-0.072,0.000,0.000,0.000,120,120,120,120
3347067,0.000,0.000,0.990,0.000,-0.014,0.022,0.000,0.000,-0.077,0.000,0.000,0.000,120,120,120,120
3354996,0.000,0.000,0.990,0.000,-0.012,0.021,0.000,0.000,-0.077,0.000,0.000,0.000,120,120,120,120
3362924,0.000,0.000,0.990,0.000,-0.010,0.019,0.000,0.000,-0.075,0.000,0.000,0.000,120,120,120,120
3370858,0.000,0.000,0.990,0.000,-0.008,0.017,0.000,0.000,-0.070,0.000,0.000,0.000,120,120,120,120
3378787,0.000,0.000,0.990,0.000,-0.007,0.015,0.000,0.000,-0.063,0.000,0.000,0.000,120,120,120,120
3386717,0.000,0.000,0.990,0.000,-0.006,0.013,0.000,0.000,-0.056,0.000,0.000,0.000,120,120,120,120
3394647,0.000,0.000,0.990,0.000,-0.005,0.012,0.000,0.000,-0.048,0.000,0.000,0.000,120,120,120,120
3402577,0.000,0.000,0.990,0.000,-0.004,0.010,0.000,0.000,-0.040,0.000,0.000,0.000,120,120,120,120
3410508,0.000,0.000,0.990,0.000,-0.003,0.009,0.000,0.000,-0.032,0.000,0.000,0.000,120,120,120,120
3418436,0.000,0.000,0.990,0.000,-0.003,0.008,0.000,0.000,-0.024,0.000,0.000,0.000,120,120,120,120
3426368,0.000,0.000,0.990,0.000,-0.002,0.006,0.000,0.000,-0.017,0.000,0.000,0.000,120,120,120,120
3434299,0.000,0.000,0.990,0.000,-0.002,0.005,0.000,0.000,-0.009,0.000,0.000,0.000,120,120,120,120
3442229,0.000,0.000,0.990,0.000,-0.001,0.005,0.000,0.000,-0.003,0.000,0.000,0.000,120,120,120,120
3450158,0.000,0.000,0.990,0.000,-0.001,0.004,0.000,0.000,0.003,0.000,0.000,0.000,120,120,120,120
3458086,0.000,0.000,0.990,0.000,-0.001,0.003,0.000,0.000,0.010,0.000,0.000,0.000,120,120,120,120
3466018,0.000,0.000,0.990,0.000,-0.001,0.003,0.000,0.000,0.016,0.000,0.000,0.000,120,120,120,120
3473946,0.000,0.000,0.990,0.000,-0.001,0.002,0.000,0.000,0.022,0.000,0.000,0.000,120,120,120,120
3481877,0.000,0.000,0.990,0.000,-0.001,0.002,0.000,0.000,0.028,0.000,0.000,0.000,120,120,120,120
3489804,0.000,0.000,0.990,0.000,-0.000,0.002,0.000,0.000,0.035,0.000,0.000,0.000,120,120,120,120
3497733,0.000,0.000,0.990,0.000,-0.000,0.001,0.000,0.000,0.044,0.000,0.000,0.000,120,120,120,120
3505664,0.000,0.000,0.990,0.000,-0.000,0.001,0.000,0.000,0.055,0.000,0.000,0.000,120,120,120,120
3513594,0.000,0.000,0.990,0.000,-0.000,0.001,0.000,0.000,0.067,0.000,0.000,0.000,120,120,120,120
3521525,0.000,0.000,0.990,0.000,-0.000,0.001,0.000,0.000,0.081,0.000,0.000,0.000,120,120,120,120
3529455,0.000,0.000,0.990,0.000,-0.000,0.001,0.000,0.000,0.095,0.000,0.000,0.000,120,120,120,120
3537383,0.000,0.000,0.990,0.000,-0.000,0.001,0.000,0.000,0.109,0.000,0.000,0.000,120,120,120,120
3545314,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.123,0.000,0.000,0.000,120,120,120,120
3553243,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.135,0.000,0.000,0.000,120,120,120,120
3561173,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.147,0.000,0.000,0.000,120,120,120,120
3569100,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.157,0.000,0.000,0.000,120,120,120,120
3577032,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.166,0.000,0.000,0.000,120,120,120,120
3584963,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.172,0.000,0.000,0.000,120,120,120,120
3592892,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.177,0.000,0.000,0.000,120,120,120,120
3600821,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.179,0.000,0.000,0.000,120,120,120,120
3608750,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.180,0.000,0.000,0.000,120,120,120,120
3616681,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.179,0.000,0.000,0.000,120,120,120,120
3624608,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.178,0.000,0.000,0.000,120,120,120,120
3632541,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.177,0.000,0.000,0.000,120,120,120,120
3640469,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.176,0.000,0.000,0.000,120,120,120,120
3648396,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.174,0.000,0.000,0.000,120,120,120,120
3656326,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.173,0.000,0.000,0.000,120,120,120,120
3664256,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.172,0.000,0.000,0.000,120,120,120,120
3672187,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.171,0.000,0.000,0.000,120,120,120,120
3680115,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.170,0.000,0.000,0.000,120,120,120,120
3688044,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.168,0.000,0.000,0.000,120,120,120,120
3695976,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.165,0.000,0.000,0.000,120,120,120,120
3703905,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.160,0.000,0.000,0.000,120,120,120,120
3711834,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.154,0.000,0.000,0.000,120,120,120,120
3719764,0.000,0.000,0.990,0.000,-0.000,0.000,0.000,0.000,0.146,0.000,0.000,0.000,120,120,120,120
3727693,0.000,0.000,0.990,0.000,-0.000,0.011,0.000,0.000,0.136,0.000,0.000,0.000,120,120,120,120
3735623,0.000,0.000,0.990,0.000,-0.000,0.018,0.000,0.000,0.124,0.000,0.000,0.000,120,120,120,120
3743553,0.000,0.000,0.990,0.000,0.011,0.034,0.000,0.000,0.113,0.000,0.000,0.000,120,120,120,120
3751484,0.000,0.000,0.990,0.000,0.018,0.042,0.000,0.000,0.102,0.000,0.000,0.000,120,120,120,120
3759413,0.000,0.000,0.990,0.000,0.022,0.046,0.000,0.000,0.090,0.000,0.000,0.000,120,120,120,120
3767342,0.000,0.000,0.990,0.000,0.024,0.046,0.000,0.000,0.077,0.000,0.000,0.000,120,120,120,120
3775271,0.000,0.000,0.990,0.000,0.024,0.045,0.000,0.000,0.064,0.000,0.000,0.000,120,120,120,120
3783200,0.000,0.000,0.990,0.000,0.023,0.042,0.000,0.000,0.051,0.000,0.000,0.000,120,120,120,120
3791129,0.000,0.000,0.990,0.000,0.021,0.038,0.000,0.000,0.040,0.000,0.000,0.000,120,120,120,120
3799058,0.000,0.000,0.990,0.000,0.019,0.035,0.000,0.000,0.030,0.000,0.000,0.000,120,120,120,120
3806987,0.000,0.000,0.990,0.000,0.017,0.031,0.000,0.000,0.020,0.000,0.000,0.000,120,120,120,120
3814917,0.000,0.000,0.990,0.000,0.015,0.027,0.000,0.000,0.012,0.000,0.000,0.000,120,120,120,120
3822848,0.000,0.000,0.990,0.000,0.014,0.024,0.000,0.000,0.007,0.000,0.000,0.000,120,120,120,120
3830776,0.000,0.000,0.990,0.000,0.012,0.021,0.000,0.000,0.004,0.000,0.000,0.000,120,120,120,120
3838711,0.000,0.000,0.990,0.000,0.010,0.018,0.000,0.000,0.003,0.000,0.000,0.000,120,120,120,120
3846640,0.000,0.000,0.990,0.000,0.009,0.015,0.000,0.000,0.004,0.000,0.000,0.000,120,120,120,120
3854565,0.000,0.000,0.990,0.000,0.008,0.013,0.000,0.000,0.005,0.000,0.000,0.000,120,120,120,120
3862493,0.000,0.000,0.990,0.000,0.006,0.011,0.000,0.000,0.007,0.000,0.000,0.000,120,120,120,120
3870423,0.000,0.000,0.990,0.000,0.005,0.009,0.000,0.000,0.009,0.000,0.000,0.000,120,120,120,120
3878353,0.000,0.000,0.990,0.000,0.005,0.008,0.000,0.000,0.012,0.000,0.000,0.000,120,120,120,120
3886281,0.000,0.000,0.990,0.000,0.004,0.007,0.000,0.000,0.015,0.000,0.000,0.000,120,120,120,120
3894210,0.000,0.000,0.990,0.000,0.003,0.006,0.000,0.000,0.019,0.000,0.000,0.000,120,120,120,120
3902138,0.000,0.000,0.990,0.000,0.003,0.005,0.000,0.000,0.024,0.000,0.000,0.000,120,120,120,120
3910069,0.000,0.000,0.990,0.000,0.002,0.004,0.000,0.000,0.028,0.000,0.000,0.000,120,120,120,120
3917997,0.000,0.000,0.990,0.000,0.002,0.003,0.000,0.000,0.033,0.000,0.000,0.000,120,120,120,120
3925927,0.000,0.000,0.990,0.000,0.002,0.003,0.000,0.000,0.037,0.000,0.000,0.000,120,120,120,120
3933856,0.000,0.000,0.990,0.000,0.001,0.002,0.000,0.000,0.042,0.000,0.000,0.000,120,120,120,120
3941788,0.000,0.000,0.990,0.000,0.001,0.002,0.000,0.000,0.048,0.000,0.000,0.000,120,120,120,120
3949716,0.000,0.000,0.990,0.000,0.001,0.002,0.000,0.000,0.056,0.000,0.000,0.000,120,120,120,120
3957646,0.000,0.000,0.990,0.000,0.001,0.001,0.000,0.000,0.068,0.000,0.000,0.000,120,120,120,120
3965577,0.000,0.000,0.990,0.000,0.001,0.001,0.000,0.000,0.081,0.000,0.000,0.000,120,120,120,120
3973505,0.000,0.000,0.990,0.000,0.001,0.001,0.000,0.000,0.095,0.000,0.000,0.000,120,120,120,120
3981433,0.000,0.000,0.990,0.000,0.000,0.001,0.000,0.000,0.110,0.000,0.000,0.000,120,120,120,120
3989363,0.000,0.000,0.990,0.000,0.000,0.001,0.000,0.000,0.124,0.000,0.000,0.000,120,120,120,120
3997291,0.000,0.000,0.990,0.000,0.000,0.001,0.000,0.000,0.136,0.000,0.000,0.000,120,120,120,120
4005222,0.000,0.000,0.990,0.000,0.000,0.000,0.000,0.000,0.148,0.000,0.000,0.000,120,120,120,120
4013149,0.000,0.000,0.990,0.000,0.000,0.000,0.000,0.000,0.158,0.000,0.000,0.000,120,120,120,120
4021078,0.000,0.000,0.990,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,120,120,120,120
4029008,0.000,0.000,0.990,0.000,0.000,0.000,0.000,0.000,0.177,0.000,0.000,0.000,120,120,120,120
4036939,0.000,0.000,0.990,0.000,0.000,0.000,0.000,0.000,0.186,0.000,0.000,0.000,120,120,120,120
4044866,0.000,0.000,0.990,0.000,0.000,0.000,0.000,0.000,0.196,0.000,0.000,0.000,120,120,120,120
4052795,0.000,0.000,0.990,0.000,0.000,0.000,0.000,0.000,0.203,0.000,0.000,0.000,120,120,120,120
4060723,0.000,0.000,0.990,0.000,0.000,0.000,0.000,0.000,0.207,0.000,0.000,0.000,120,120,120,120
4068654,0.000,0.000,0.990,0.000,0.000,0.000,0.000,0.000,0.208,0.000,0.000,0.000,120,120,120,120
4077463,0.000,0.000,0.990,0.000,0.012,0.000,0.000,0.000,0.203,0.000,0.000,0.000,120,120,120,120
4084511,0.000,0.000,0.990,0.000,0.018,0.000,0.000,0.000,0.198,0.000,0.000,0.000,120,120,120,120
4092442,0.000,0.000,0.990,0.000,0.022,0.000,0.000,0.000,0.191,0.000,0.000,0.000,120,120,120,120
4100370,0.000,0.000,0.990,0.000,0.024,0.000,0.000,0.000,0.183,0.000,0.000,0.000,120,120,120,120
4108299,0.000,0.000,0.990,0.000,0.024,0.000,0.000,0.000,0.173,0.000,0.000,0.000,120,120,120,120
4116230,0.000,0.000,0.990,0.000,0.023,0.000,0.000,0.000,0.161,0.000,0.000,0.000,120,120,120,120
4124158,0.000,0.000,0.990,0.000,0.021,0.000,0.000,0.000,0.148,0.000,0.000,0.000,120,120,120,120
4132086,0.000,0.000,0.990,0.000,0.019,0.000,0.000,0.000,0.134,0.000,0.000,0.000,120,120,120,120
4140016,0.000,0.000,0.990,0.000,0.017,0.000,0.000,0.000,0.120,0.000,0.000,0.000,120,120,120,120
4147946,0.000,0.000,0.990,0.000,0.015,0.000,0.000,0.000,0.106,0.000,0.000,0.000,120,120,120,120
4155873,0.000,0.000,0.990,0.000,0.014,0.000,0.000,0.000,0.092,0.000,0.000,0.000,120,120,120,120
4163803,0.000,0.000,0.990,0.000,0.012,0.000,0.000,0.000,0.079,0.000,0.000,0.000,120,120,120,120
4171733,0.000,0.000,0.990,0.000,0.010,0.000,0.000,0.000,0.066,0.000,0.000,0.000,120,120,120,120
4179661,0.000,0.000,0.990,0.000,0.009,0.000,0.000,0.000,0.054,0.000,0.000,0.000,120,120,120,120
4187592,0.000,0.000,0.990,0.000,0.008,0.000,0.000,0.000,0.041,0.000,0.000,0.000,120,120,120,120
4195520,0.000,0.000,0.990,0.000,0.006,0.000,0.000,0.000,0.029,0.000,0.000,0.000,120,120,120,120
4203449,0.000,0.000,0.990,0.000,0.005,0.000,0.000,0.000,0.015,0.000,0.000,0.000,120,120,120,120
4211379,0.000,0.000,0.990,0.000,0.005,0.000,0.000,0.000,0.001,0.000,0.000,0.000,120,120,120,120
4219307,0.000,0.000,0.990,0.000,0.004,0.000,0.000,0.000,-0.012,0.000,0.000,0.000,120,120,120,120
4227236,0.000,0.000,0.990,0.000,0.003,0.000,0.000,0.000,-0.026,0.000,0.000,0.000,120,120,120,120
4235165,0.000,0.000,0.990,0.000,0.003,0.000,0.000,0.000,-0.039,0.000,0.000,0.000,120,120,120,120
4243092,0.000,0.000,0.990,0.000,0.002,0.000,0.000,0.000,-0.050,0.000,0.000,0.000,120,120,120,120
4251021,0.000,0.000,0.990,0.000,0.002,0.000,0.000,0.000,-0.061,0.000,0.000,0.000,120,120,120,120
4258948,0.000,0.000,0.987,0.000,0.002,0.000,0.000,0.000,-0.070,0.000,0.000,0.000,120,120,120,120
4266877,0.000,0.000,0.988,0.000,0.001,0.000,0.000,0.000,-0.080,0.000,0.000,0.000,120,120,120,120
4274806,0.000,0.000,0.986,0.000,0.001,0.000,0.000,0.000,-0.090,0.000,0.000,0.000,120,120,120,120
4282736,0.000,0.000,0.984,0.000,0.001,0.000,0.000,0.000,-0.100,0.000,0.000,0.000,120,120,120,120
4290662,0.000,0.000,0.983,0.000,0.001,0.000,0.000,0.000,-0.111,0.000,0.000,0.000,120,120,120,120
4298592,0.000,0.000,0.982,0.000,0.001,0.000,0.000,0.000,-0.122,0.000,0.000,0.000,120,120,120,120
4306517,0.000,0.000,0.981,0.000,0.001,0.000,0.000,0.000,-0.134,0.000,0.000,0.000,120,120,120,120
4314449,0.000,0.000,0.984,0.000,0.000,0.000,0.000,0.000,-0.146,0.000,0.000,0.000,120,120,120,120
4322377,0.000,0.000,0.983,0.000,0.000,0.000,0.000,0.000,-0.157,0.000,0.000,0.000,120,120,120,120
4330306,0.000,0.000,0.982,0.000,0.000,0.000,0.000,0.000,-0.166,0.000,0.000,0.000,120,120,120,120
4338233,0.000,0.000,0.981,0.000,0.000,0.000,0.000,0.000,-0.173,0.000,0.000,0.000,120,120,120,120
4346162,0.000,0.000,0.981,0.000,0.000,0.000,0.000,0.000,-0.178,0.000,0.000,0.000,120,120,120,120
4354090,0.000,0.000,0.981,0.000,0.000,0.000,0.000,0.000,-0.182,0.000,0.000,0.000,120,120,120,120
4362019,0.000,0.000,0.983,0.000,0.000,0.000,0.000,0.000,-0.184,0.000,0.000,0.000,120,120,120,120
4369948,0.000,0.000,0.982,0.000,0.000,0.000,0.000,0.000,-0.183,0.000,0.000,0.000,120,120,120,120
4377879,0.000,0.000,0.982,0.000,0.000,0.000,0.000,0.000,-0.181,0.000,0.000,0.000,120,120,120,120
4385805,0.000,0.000,0.981,0.000,0.000,0.000,0.000,0.000,-0.175,0.000,0.000,0.000,120,120,120,120
4393737,0.000,0.000,0.981,0.000,0.000,0.000,0.000,0.000,-0.168,0.000,0.000,0.000,120,120,120,120
4401662,0.000,0.000,0.984,0.000,0.000,0.000,0.000,0.000,-0.159,0.000,0.000,0.000,120,120,120,120
4409590,0.000,0.000,0.986,0.000,0.000,0.000,0.000,0.000,-0.148,0.000,0.000,0.000,120,120,120,120
4417521,0.000,0.000,0.987,0.000,0.000,0.000,0.000,0.000,-0.136,0.000,0.000,0.000,120,120,120,120
4425448,0.000,0.000,0.988,0.000,0.000,0.000,0.000,0.000,-0.122,0.000,0.000,0.000,120,120,120,120
4433376,0.000,0.000,0.988,0.000,0.000,0.000,0.000,0.000,-0.106,0.000,0.000,0.000,120,120,120,120
4441305,0.000,0.000,0.989,0.000,0.000,0.011,0.000,0.000,-0.087,0.000,0.000,0.000,120,120,120,120
4449233,0.000,0.000,0.989,0.000,0.000,0.018,0.000,0.000,-0.066,0.000,0.000,0.000,120,120,120,120
